operation,sample_ms
keygen,0.051500
keygen,0.048083
keygen,0.043958
keygen,0.043791
keygen,0.043959
keygen,0.043625
keygen,0.044250
keygen,0.043708
keygen,0.044375
keygen,0.043833
keygen,0.043708
keygen,0.044208
keygen,0.043750
keygen,0.044292
keygen,0.043709
keygen,0.043584
keygen,0.044000
keygen,0.043792
keygen,0.044292
keygen,0.044167
keygen,0.044375
keygen,0.044333
keygen,0.043584
keygen,0.052291
keygen,0.043125
keygen,0.046709
keygen,0.044541
keygen,0.043708
keygen,0.044083
keygen,0.044375
keygen,0.043916
keygen,0.043750
keygen,0.043959
keygen,0.044000
keygen,0.043292
keygen,0.043875
keygen,0.044417
keygen,0.044459
keygen,0.044166
keygen,0.043833
keygen,0.044208
keygen,0.043750
keygen,0.044584
keygen,0.043458
keygen,0.043417
keygen,0.043209
keygen,0.043334
keygen,0.043875
keygen,0.043666
keygen,0.043875
keygen,0.044041
keygen,0.043250
keygen,0.048875
keygen,0.051542
keygen,0.044083
keygen,0.043709
keygen,0.044208
keygen,0.044292
keygen,0.043542
keygen,0.043459
keygen,0.043875
keygen,0.043959
keygen,0.043500
keygen,0.043791
keygen,0.044000
keygen,0.043792
keygen,0.044416
keygen,0.043792
keygen,0.043875
keygen,0.043834
keygen,0.044334
keygen,0.044125
keygen,0.043791
keygen,0.043208
keygen,0.043584
keygen,0.044166
keygen,0.043375
keygen,0.044250
keygen,0.043541
keygen,0.044042
keygen,0.044333
keygen,0.047833
keygen,0.044709
keygen,0.043500
keygen,0.044084
keygen,0.044333
keygen,0.044042
keygen,0.043750
keygen,0.043667
keygen,0.043542
keygen,0.043834
keygen,0.044083
keygen,0.048125
keygen,0.045792
keygen,0.051625
keygen,0.044041
keygen,0.043375
keygen,0.043709
keygen,0.043166
keygen,0.043375
keygen,0.044000
keygen,0.044000
keygen,0.043833
keygen,0.043333
keygen,0.044291
keygen,0.043375
keygen,0.043708
keygen,0.044375
keygen,0.052292
keygen,0.043834
keygen,0.044083
keygen,0.043583
keygen,0.043291
keygen,0.043875
keygen,0.043833
keygen,0.043875
keygen,0.043542
keygen,0.044208
keygen,0.043916
keygen,0.043375
keygen,0.044333
keygen,0.047084
keygen,0.044125
keygen,0.043834
keygen,0.044250
keygen,0.051125
keygen,0.044417
keygen,0.043792
keygen,0.043959
keygen,0.044417
keygen,0.044083
keygen,0.043834
keygen,0.044083
keygen,0.043791
keygen,0.044209
keygen,0.044667
keygen,0.043917
keygen,0.043917
keygen,0.044167
keygen,0.043500
keygen,0.046500
keygen,0.048166
keygen,0.048459
keygen,0.078041
keygen,0.050792
keygen,0.046250
keygen,0.045417
keygen,0.044958
keygen,0.044958
keygen,0.044083
keygen,0.045042
keygen,0.047000
keygen,0.045041
keygen,0.040708
keygen,0.050167
keygen,0.040708
keygen,0.043750
keygen,0.045167
keygen,0.044667
keygen,0.044542
keygen,0.044375
keygen,0.044500
keygen,0.045083
keygen,0.040709
keygen,0.044375
keygen,0.051125
keygen,0.040125
keygen,0.040291
keygen,0.040041
keygen,0.047375
keygen,0.045959
keygen,0.044750
keygen,0.040959
keygen,0.040584
keygen,0.040958
keygen,0.040834
keygen,0.044958
keygen,0.044292
keygen,0.044291
keygen,0.044708
keygen,0.045375
keygen,0.044583
keygen,0.045250
keygen,0.044625
keygen,0.044625
keygen,0.044291
keygen,0.040583
keygen,0.040500
keygen,0.042709
keygen,0.044375
keygen,0.045459
keygen,0.097334
keygen,0.086750
keygen,0.077292
keygen,0.048083
keygen,0.050209
keygen,0.046083
keygen,0.044000
keygen,0.053583
keygen,0.040667
keygen,0.044334
keygen,0.044208
keygen,0.053959
keygen,0.044125
keygen,0.043583
keygen,0.040375
keygen,0.039625
keygen,0.047416
keygen,0.040667
keygen,0.041458
keygen,0.043584
keygen,0.043708
keygen,0.044125
keygen,0.043833
keygen,0.043791
keygen,0.043750
keygen,0.043041
keygen,0.039666
keygen,0.040041
keygen,0.044084
keygen,0.044125
keygen,0.044250
keygen,0.048250
keygen,0.051292
keygen,0.044250
keygen,0.044333
keygen,0.043334
keygen,0.044167
keygen,0.039792
keygen,0.039625
keygen,0.043000
keygen,0.043792
keygen,0.044291
keygen,0.043875
keygen,0.043875
keygen,0.043625
keygen,0.043834
keygen,0.043541
keygen,0.043791
keygen,0.044250
keygen,0.042708
keygen,0.044292
keygen,0.043459
keygen,0.043958
keygen,0.043792
keygen,0.043709
keygen,0.043250
keygen,0.043416
keygen,0.043334
keygen,0.043750
keygen,0.043208
keygen,0.040292
keygen,0.039792
keygen,0.039291
keygen,0.047750
keygen,0.044250
keygen,0.044208
keygen,0.043500
keygen,0.043250
keygen,0.052584
keygen,0.043916
keygen,0.043333
keygen,0.041125
keygen,0.039875
keygen,0.041417
keygen,0.044625
keygen,0.044084
keygen,0.047000
keygen,0.044167
keygen,0.043292
keygen,0.043041
keygen,0.043042
keygen,0.043833
keygen,0.043792
keygen,0.042625
keygen,0.039292
keygen,0.048291
keygen,0.048792
keygen,0.048459
keygen,0.044458
keygen,0.043792
keygen,0.044958
keygen,0.044000
keygen,0.043542
keygen,0.043459
keygen,0.040583
keygen,0.039584
keygen,0.043166
keygen,0.043791
keygen,0.042709
keygen,0.043875
keygen,0.043958
keygen,0.043375
keygen,0.044292
keygen,0.044000
keygen,0.043709
keygen,0.042291
keygen,0.039041
keygen,0.039792
keygen,0.043542
keygen,0.044125
keygen,0.043209
keygen,0.043666
keygen,0.043709
keygen,0.043791
keygen,0.043917
keygen,0.043459
keygen,0.044166
keygen,0.043541
keygen,0.043583
keygen,0.043209
keygen,0.043625
keygen,0.043958
keygen,0.044542
keygen,0.043875
keygen,0.043917
keygen,0.043250
keygen,0.044125
keygen,0.043583
keygen,0.044125
keygen,0.043916
keygen,0.043833
keygen,0.043417
keygen,0.043792
keygen,0.043166
keygen,0.043834
keygen,0.044125
keygen,0.044000
keygen,0.043958
keygen,0.043542
keygen,0.043500
keygen,0.043625
keygen,0.042750
keygen,0.043708
keygen,0.044000
keygen,0.043625
keygen,0.044000
keygen,0.043625
keygen,0.052833
keygen,0.043958
keygen,0.043583
keygen,0.043667
keygen,0.049375
keygen,0.046292
keygen,0.053208
keygen,0.044542
keygen,0.043667
keygen,0.044000
keygen,0.043375
keygen,0.043750
keygen,0.043375
keygen,0.043833
keygen,0.043625
keygen,0.044208
keygen,0.044000
keygen,0.043500
keygen,0.043084
keygen,0.044166
keygen,0.043458
keygen,0.043375
keygen,0.043750
keygen,0.044125
keygen,0.044375
keygen,0.043666
keygen,0.048875
keygen,0.043917
keygen,0.044208
keygen,0.046417
keygen,0.043792
keygen,0.044500
keygen,0.043708
keygen,0.044333
keygen,0.051083
keygen,0.043834
keygen,0.043916
keygen,0.043500
keygen,0.043875
keygen,0.043459
keygen,0.046042
keygen,0.044292
keygen,0.044208
keygen,0.043875
keygen,0.044000
keygen,0.049875
keygen,0.043500
keygen,0.043542
keygen,0.043208
keygen,0.044375
keygen,0.043750
keygen,0.043750
keygen,0.043625
keygen,0.043416
keygen,0.047916
keygen,0.044333
keygen,0.043917
keygen,0.043541
keygen,0.044041
keygen,0.043750
keygen,0.043791
keygen,0.043958
keygen,0.044042
keygen,0.043250
keygen,0.044167
keygen,0.044000
keygen,0.043708
keygen,0.043500
keygen,0.043625
keygen,0.043875
keygen,0.044583
keygen,0.044458
keygen,0.048875
keygen,0.043791
keygen,0.043875
keygen,0.043959
keygen,0.043958
keygen,0.050792
keygen,0.047333
keygen,0.043834
keygen,0.043583
keygen,0.043750
keygen,0.043583
keygen,0.043792
keygen,0.043500
keygen,0.044208
keygen,0.043167
keygen,0.043708
keygen,0.043583
keygen,0.043833
keygen,0.043584
keygen,0.043417
keygen,0.044125
keygen,0.043084
keygen,0.044208
keygen,0.043834
keygen,0.043042
keygen,0.044167
keygen,0.044083
keygen,0.044042
keygen,0.043833
keygen,0.044333
keygen,0.044209
keygen,0.044250
keygen,0.043584
keygen,0.044208
keygen,0.043000
keygen,0.043459
keygen,0.043542
keygen,0.043917
keygen,0.043375
keygen,0.044208
keygen,0.043500
keygen,0.043459
keygen,0.044208
keygen,0.043958
keygen,0.045000
keygen,0.043625
keygen,0.043833
keygen,0.043791
keygen,0.044083
keygen,0.043792
keygen,0.043625
keygen,0.043958
keygen,0.043375
keygen,0.043458
keygen,0.044084
keygen,0.047000
keygen,0.063208
keygen,0.049667
keygen,0.048875
keygen,0.053625
keygen,0.053042
keygen,0.056375
keygen,0.046375
keygen,0.047750
keygen,0.044292
keygen,0.053750
keygen,0.051917
keygen,0.040000
keygen,0.040292
keygen,0.043417
keygen,0.051000
keygen,0.047042
keygen,0.043250
keygen,0.043125
keygen,0.042250
keygen,0.039417
keygen,0.039417
keygen,0.039417
keygen,0.039958
keygen,0.039958
keygen,0.039250
keygen,0.039166
keygen,0.039667
keygen,0.040209
keygen,0.039625
keygen,0.039500
keygen,0.041083
keygen,0.046208
keygen,0.044833
keygen,0.048875
keygen,0.046792
keygen,0.043500
keygen,0.043917
keygen,0.043333
keygen,0.043625
keygen,0.043333
keygen,0.044167
keygen,0.044250
keygen,0.043584
keygen,0.043750
keygen,0.046750
keygen,0.040041
keygen,0.041791
keygen,0.043584
keygen,0.044083
keygen,0.043542
keygen,0.043708
keygen,0.046209
keygen,0.050375
keygen,0.044375
keygen,0.043708
keygen,0.043500
keygen,0.044000
keygen,0.043625
keygen,0.044041
keygen,0.044292
keygen,0.043917
keygen,0.043375
keygen,0.043208
keygen,0.050208
keygen,0.043834
keygen,0.044041
keygen,0.043250
keygen,0.043542
keygen,0.043292
keygen,0.043792
keygen,0.043709
keygen,0.043958
keygen,0.043708
keygen,0.043542
keygen,0.044208
keygen,0.043791
keygen,0.044000
keygen,0.043916
keygen,0.043709
keygen,0.044000
keygen,0.051750
keygen,0.044375
keygen,0.043166
keygen,0.047917
keygen,0.043708
keygen,0.043666
keygen,0.043334
keygen,0.044000
keygen,0.044333
keygen,0.043667
keygen,0.043291
keygen,0.043417
keygen,0.043959
keygen,0.043875
keygen,0.043625
keygen,0.044166
keygen,0.048708
keygen,0.044125
keygen,0.043625
keygen,0.042958
keygen,0.044042
keygen,0.044625
keygen,0.043625
keygen,0.044084
keygen,0.043708
keygen,0.043250
keygen,0.043916
keygen,0.043542
keygen,0.043792
keygen,0.043916
keygen,0.045792
keygen,0.043625
keygen,0.039417
keygen,0.040125
keygen,0.043000
keygen,0.044041
keygen,0.043625
keygen,0.043333
keygen,0.043417
keygen,0.043625
keygen,0.044042
keygen,0.043917
keygen,0.043417
keygen,0.043708
keygen,0.043584
keygen,0.043583
keygen,0.043792
keygen,0.044167
keygen,0.043834
keygen,0.043917
keygen,0.043875
keygen,0.044000
keygen,0.043958
keygen,0.043292
keygen,0.043791
keygen,0.043375
keygen,0.044000
keygen,0.042708
keygen,0.043542
keygen,0.043416
keygen,0.043792
keygen,0.043792
keygen,0.044291
keygen,0.043667
keygen,0.044750
keygen,0.043625
keygen,0.044084
keygen,0.043875
keygen,0.043291
keygen,0.044166
keygen,0.043500
keygen,0.042750
keygen,0.043958
keygen,0.043417
keygen,0.043708
keygen,0.044083
keygen,0.043542
keygen,0.043625
keygen,0.044458
keygen,0.043625
keygen,0.043500
keygen,0.043709
keygen,0.044416
keygen,0.044250
keygen,0.043875
keygen,0.043709
keygen,0.043416
keygen,0.043417
keygen,0.049916
keygen,0.044375
keygen,0.043167
keygen,0.044291
keygen,0.043334
keygen,0.044000
keygen,0.043666
keygen,0.043666
keygen,0.044375
keygen,0.043792
keygen,0.044584
keygen,0.043625
keygen,0.043708
keygen,0.043334
keygen,0.043875
keygen,0.043500
keygen,0.044125
keygen,0.043708
keygen,0.043708
keygen,0.044250
keygen,0.043542
keygen,0.043292
keygen,0.043250
keygen,0.043792
keygen,0.043500
keygen,0.044417
keygen,0.044000
keygen,0.043834
keygen,0.043666
keygen,0.043667
keygen,0.044125
keygen,0.044167
keygen,0.043958
keygen,0.043666
keygen,0.044375
keygen,0.043791
keygen,0.043708
keygen,0.043584
keygen,0.043666
keygen,0.043292
keygen,0.044125
keygen,0.043458
keygen,0.043750
keygen,0.043708
keygen,0.043917
keygen,0.043167
keygen,0.044375
keygen,0.043166
keygen,0.043917
keygen,0.044000
keygen,0.043583
keygen,0.043375
keygen,0.043375
keygen,0.043959
keygen,0.043834
keygen,0.044458
keygen,0.043375
keygen,0.044208
keygen,0.045542
keygen,0.044041
keygen,0.043042
keygen,0.043625
keygen,0.043792
keygen,0.044125
keygen,0.043375
keygen,0.044416
keygen,0.044125
keygen,0.043458
keygen,0.043875
keygen,0.043500
keygen,0.043250
keygen,0.044208
keygen,0.044500
keygen,0.052958
keygen,0.044333
keygen,0.043209
keygen,0.043666
keygen,0.053250
keygen,0.044834
keygen,0.053125
keygen,0.043833
keygen,0.043083
keygen,0.044542
keygen,0.043792
keygen,0.043541
keygen,0.043709
keygen,0.044458
keygen,0.043416
keygen,0.052625
keygen,0.050791
keygen,0.044209
keygen,0.043791
keygen,0.043625
keygen,0.043584
keygen,0.043458
keygen,0.043625
keygen,0.043625
keygen,0.043500
keygen,0.048500
keygen,0.043625
keygen,0.044417
keygen,0.044542
keygen,0.043709
keygen,0.043625
keygen,0.043375
keygen,0.043791
keygen,0.043334
keygen,0.044125
keygen,0.043250
keygen,0.043958
keygen,0.043875
keygen,0.044167
keygen,0.044250
keygen,0.044458
keygen,0.043500
keygen,0.044167
keygen,0.043750
keygen,0.043666
keygen,0.043750
keygen,0.044084
keygen,0.044291
keygen,0.044042
keygen,0.043958
keygen,0.044334
keygen,0.044291
keygen,0.043708
keygen,0.043875
keygen,0.043209
keygen,0.043333
keygen,0.044125
keygen,0.043292
keygen,0.043375
keygen,0.043625
keygen,0.043125
keygen,0.043875
keygen,0.043333
keygen,0.044084
keygen,0.045916
keygen,0.043625
keygen,0.043625
keygen,0.043166
keygen,0.043875
keygen,0.044291
keygen,0.043458
keygen,0.043750
keygen,0.043875
keygen,0.044166
keygen,0.043875
keygen,0.043416
keygen,0.043875
keygen,0.043125
keygen,0.043666
keygen,0.044125
keygen,0.044500
keygen,0.044333
keygen,0.043250
keygen,0.044125
keygen,0.043166
keygen,0.043459
keygen,0.043000
keygen,0.043958
keygen,0.044167
keygen,0.044083
keygen,0.043792
keygen,0.044208
keygen,0.043708
keygen,0.044042
keygen,0.043500
keygen,0.044250
keygen,0.044125
keygen,0.043625
keygen,0.043667
keygen,0.043333
keygen,0.043667
keygen,0.043791
keygen,0.044125
keygen,0.043792
keygen,0.043875
keygen,0.043625
keygen,0.043959
keygen,0.049291
keygen,0.043500
keygen,0.044167
keygen,0.044333
keygen,0.046333
keygen,0.043292
keygen,0.043250
keygen,0.043791
keygen,0.043750
keygen,0.043084
keygen,0.044000
keygen,0.043750
keygen,0.043791
keygen,0.044000
keygen,0.057625
keygen,0.044042
keygen,0.043792
keygen,0.043416
keygen,0.044333
keygen,0.044167
keygen,0.044125
