operation,sample_ms
keygen,0.032833
keygen,0.027750
keygen,0.027542
keygen,0.027542
keygen,0.027458
keygen,0.027500
keygen,0.027416
keygen,0.027375
keygen,0.027292
keygen,0.027375
keygen,0.027292
keygen,0.028333
keygen,0.049667
keygen,0.035459
keygen,0.030250
keygen,0.028708
keygen,0.028084
keygen,0.028000
keygen,0.027875
keygen,0.027833
keygen,0.027791
keygen,0.027792
keygen,0.027625
keygen,0.027666
keygen,0.027625
keygen,0.027500
keygen,0.027625
keygen,0.027583
keygen,0.027750
keygen,0.026541
keygen,0.024458
keygen,0.024459
keygen,0.024291
keygen,0.024208
keygen,0.024208
keygen,0.024417
keygen,0.024333
keygen,0.024334
keygen,0.024208
keygen,0.024209
keygen,0.024125
keygen,0.024292
keygen,0.024250
keygen,0.024375
keygen,0.027250
keygen,0.024459
keygen,0.029125
keygen,0.029875
keygen,0.036375
keygen,0.046208
keygen,0.032500
keygen,0.030750
keygen,0.028666
keygen,0.028375
keygen,0.027917
keygen,0.027875
keygen,0.027875
keygen,0.027833
keygen,0.027625
keygen,0.027708
keygen,0.027625
keygen,0.027750
keygen,0.027666
keygen,0.027584
keygen,0.027583
keygen,0.027625
keygen,0.027500
keygen,0.027666
keygen,0.027541
keygen,0.027625
keygen,0.027583
keygen,0.027709
keygen,0.027625
keygen,0.027583
keygen,0.027334
keygen,0.027541
keygen,0.027375
keygen,0.027666
keygen,0.027583
keygen,0.027583
keygen,0.027583
keygen,0.027625
keygen,0.027458
keygen,0.027542
keygen,0.027584
keygen,0.027625
keygen,0.027458
keygen,0.027417
keygen,0.027458
keygen,0.027500
keygen,0.027625
keygen,0.027500
keygen,0.027500
keygen,0.027750
keygen,0.027667
keygen,0.027500
keygen,0.027625
keygen,0.027458
keygen,0.027500
keygen,0.027583
keygen,0.037084
keygen,0.028083
keygen,0.027584
keygen,0.027542
keygen,0.027584
keygen,0.027458
keygen,0.027458
keygen,0.027375
keygen,0.027584
keygen,0.027459
keygen,0.027458
keygen,0.027667
keygen,0.027500
keygen,0.027625
keygen,0.027416
keygen,0.027583
keygen,0.027542
keygen,0.027417
keygen,0.027500
keygen,0.025750
keygen,0.027208
keygen,0.043209
keygen,0.029334
keygen,0.057042
keygen,0.039208
keygen,0.078541
keygen,0.071042
keygen,0.029875
keygen,0.028167
keygen,0.027792
keygen,0.027791
keygen,0.027584
keygen,0.027791
keygen,0.027500
keygen,0.027541
keygen,0.027500
keygen,0.027541
keygen,0.027333
keygen,0.027542
keygen,0.027417
keygen,0.027500
keygen,0.027625
keygen,0.027417
keygen,0.027417
keygen,0.027541
keygen,0.027417
keygen,0.027375
keygen,0.027708
keygen,0.027375
keygen,0.029833
keygen,0.027416
keygen,0.027458
keygen,0.027292
keygen,0.027584
keygen,0.027375
keygen,0.027458
keygen,0.027417
keygen,0.027375
keygen,0.027458
keygen,0.027459
keygen,0.027500
keygen,0.027500
keygen,0.027333
keygen,0.027417
keygen,0.027334
keygen,0.027375
keygen,0.025125
keygen,0.024458
keygen,0.024250
keygen,0.024500
keygen,0.024333
keygen,0.024375
keygen,0.024375
keygen,0.024459
keygen,0.024333
keygen,0.024500
keygen,0.024417
keygen,0.024292
keygen,0.024333
keygen,0.024291
keygen,0.024166
keygen,0.024083
keygen,0.024083
keygen,0.023917
keygen,0.024084
keygen,0.024042
keygen,0.024125
keygen,0.024125
keygen,0.024041
keygen,0.024042
keygen,0.024083
keygen,0.024000
keygen,0.024333
keygen,0.024042
keygen,0.024292
keygen,0.026750
keygen,0.026625
keygen,0.026875
keygen,0.026666
keygen,0.024666
keygen,0.033875
keygen,0.028208
keygen,0.027459
keygen,0.027750
keygen,0.027416
keygen,0.027125
keygen,0.027459
keygen,0.027250
keygen,0.027458
keygen,0.027333
keygen,0.027334
keygen,0.027166
keygen,0.027291
keygen,0.027334
keygen,0.027292
keygen,0.027250
keygen,0.027291
keygen,0.027166
keygen,0.027334
keygen,0.027166
keygen,0.024125
keygen,0.024083
keygen,0.024125
keygen,0.024000
keygen,0.024167
keygen,0.023958
keygen,0.024084
keygen,0.025125
keygen,0.026542
keygen,0.026542
keygen,0.026541
keygen,0.026666
