operation,sample_ms
keygen,0.079959
keygen,0.069625
keygen,0.069375
keygen,0.069292
keygen,0.069375
keygen,0.069542
keygen,0.069333
keygen,0.069167
keygen,0.069417
keygen,0.069500
keygen,0.071959
keygen,0.069125
keygen,0.069167
keygen,0.069333
keygen,0.072291
keygen,0.069416
keygen,0.072750
keygen,0.069292
keygen,0.069333
keygen,0.069333
keygen,0.069417
keygen,0.069125
keygen,0.068875
keygen,0.082916
keygen,0.077875
keygen,0.069500
keygen,0.069750
keygen,0.069584
keygen,0.069500
keygen,0.069458
keygen,0.069333
keygen,0.069417
keygen,0.065000
keygen,0.069084
keygen,0.069541
keygen,0.071916
keygen,0.069250
keygen,0.069333
keygen,0.069250
keygen,0.073875
keygen,0.066417
keygen,0.069500
keygen,0.072125
keygen,0.069292
keygen,0.069417
keygen,0.069333
keygen,0.069292
keygen,0.069208
keygen,0.069292
keygen,0.072292
keygen,0.070125
keygen,0.069292
keygen,0.069250
keygen,0.069417
keygen,0.069292
keygen,0.069083
keygen,0.069458
keygen,0.069292
keygen,0.069208
keygen,0.069459
keygen,0.069166
keygen,0.069334
keygen,0.069167
keygen,0.069250
keygen,0.069250
keygen,0.078709
keygen,0.069417
keygen,0.069250
keygen,0.069292
keygen,0.069292
keygen,0.069292
keygen,0.069292
keygen,0.069333
keygen,0.069250
keygen,0.069208
keygen,0.069459
keygen,0.069208
keygen,0.069166
keygen,0.090875
keygen,0.073583
keygen,0.070458
keygen,0.072833
keygen,0.069875
keygen,0.069917
keygen,0.069750
keygen,0.069583
keygen,0.069583
keygen,0.069542
keygen,0.069667
keygen,0.071750
keygen,0.088542
keygen,0.077958
keygen,0.064125
keygen,0.065750
keygen,0.070916
keygen,0.069750
keygen,0.063375
keygen,0.062916
keygen,0.063167
keygen,0.064750
keygen,0.068834
keygen,0.069541
keygen,0.069417
keygen,0.066750
keygen,0.067584
keygen,0.069500
keygen,0.069500
keygen,0.069458
keygen,0.077583
keygen,0.077583
keygen,0.066791
keygen,0.065375
keygen,0.075833
keygen,0.069708
keygen,0.069709
keygen,0.069500
keygen,0.069041
keygen,0.068292
keygen,0.068333
keygen,0.069375
keygen,0.069541
keygen,0.069416
keygen,0.069459
keygen,0.069500
keygen,0.069583
keygen,0.069292
keygen,0.069416
keygen,0.069458
keygen,0.072250
keygen,0.069542
keygen,0.069542
keygen,0.069458
keygen,0.069458
keygen,0.069542
keygen,0.069292
keygen,0.069625
keygen,0.069583
keygen,0.069625
keygen,0.069375
keygen,0.069458
keygen,0.069542
keygen,0.069375
keygen,0.069625
keygen,0.069291
keygen,0.069375
keygen,0.069500
keygen,0.069417
keygen,0.069625
keygen,0.069500
keygen,0.069459
keygen,0.069500
keygen,0.069708
keygen,0.069167
keygen,0.069250
keygen,0.069375
keygen,0.069416
keygen,0.069459
keygen,0.069542
keygen,0.069500
keygen,0.069292
keygen,0.069542
keygen,0.069500
keygen,0.069167
keygen,0.069542
keygen,0.069458
keygen,0.072208
keygen,0.069417
keygen,0.069541
keygen,0.069417
keygen,0.069291
keygen,0.069459
keygen,0.069458
keygen,0.069542
keygen,0.069416
keygen,0.069459
keygen,0.073083
keygen,0.077917
keygen,0.070000
keygen,0.069250
keygen,0.069666
keygen,0.069500
keygen,0.069583
keygen,0.069334
keygen,0.072250
keygen,0.069166
keygen,0.069250
keygen,0.069375
keygen,0.069291
keygen,0.069458
keygen,0.069458
keygen,0.069375
keygen,0.069459
keygen,0.069333
keygen,0.069417
keygen,0.069416
keygen,0.069292
keygen,0.069542
keygen,0.069375
keygen,0.081250
keygen,0.072917
keygen,0.070500
keygen,0.070625
keygen,0.073459
