operation,sample_ms
keygen,16876.685875
keygen,8537.580125
keygen,59875.088084
keygen,42719.879917
keygen,23426.699416
keygen,19557.076458
keygen,45090.951625
keygen,30171.405000
keygen,6324.831166
keygen,28838.312042
sign,108.625125
sign,107.786083
sign,107.735458
sign,107.543250
sign,107.818750
sign,107.738500
sign,107.976458
sign,108.016250
sign,108.000917
sign,107.923250
sign,108.061875
sign,107.904042
sign,144.720750
sign,107.380791
sign,107.583375
sign,107.673750
sign,108.218750
sign,107.712083
sign,107.928042
sign,107.899042
sign,107.833250
sign,107.948250
sign,107.791459
sign,108.142000
sign,109.213000
sign,107.728208
sign,107.608042
sign,107.875250
sign,108.458667
sign,108.163167
sign,107.921667
sign,107.894375
sign,107.852083
sign,107.878750
sign,108.064125
sign,107.796167
sign,107.756042
sign,107.904084
sign,108.513500
sign,107.880208
sign,107.709792
sign,107.867667
sign,107.958708
sign,107.745916
sign,146.004667
sign,108.097209
sign,108.464875
sign,108.138458
sign,110.778917
sign,108.699959
sign,107.945041
sign,110.427208
sign,112.482209
sign,108.174625
sign,108.340834
sign,108.004041
sign,107.738917
sign,107.834292
sign,107.654667
sign,107.758458
sign,111.572833
sign,108.510292
sign,109.325917
sign,110.932541
sign,109.698291
sign,107.807500
sign,107.660125
sign,108.218625
sign,108.638958
sign,108.971542
sign,108.328917
sign,107.683833
sign,107.657833
sign,108.275667
sign,108.031583
sign,107.716125
sign,145.585500
sign,108.037125
sign,107.859167
sign,108.047417
sign,107.972958
sign,107.777958
sign,107.818584
sign,107.692583
sign,107.656541
sign,107.534792
sign,108.034292
sign,107.667667
sign,108.027000
sign,109.216916
sign,108.520667
sign,107.639541
sign,107.607334
sign,108.096959
sign,108.270000
sign,107.978750
sign,107.666917
sign,108.129917
sign,107.951209
sign,107.798666
sign,108.333208
sign,107.800917
sign,107.824541
sign,107.731834
sign,107.655291
sign,107.786333
sign,108.140625
sign,107.913417
sign,146.127584
sign,108.095750
sign,107.980084
sign,107.699167
sign,107.814375
sign,107.889708
sign,107.881375
sign,107.764708
sign,107.656292
sign,107.568792
sign,107.906750
sign,107.732875
sign,107.704541
sign,107.733708
sign,107.968667
sign,107.652583
sign,107.591125
sign,108.025167
sign,109.397041
sign,108.315791
sign,107.711042
sign,107.946625
sign,108.037459
sign,108.398959
sign,108.312250
sign,108.191333
sign,109.001084
sign,108.054708
sign,107.685708
sign,107.573041
sign,107.751083
sign,108.045000
sign,145.710459
sign,107.599459
sign,107.587708
sign,108.264000
sign,110.022375
sign,109.620917
sign,108.543625
sign,108.313167
sign,108.264792
sign,108.132791
sign,108.079458
sign,107.934959
sign,107.972333
sign,107.760167
sign,143.260042
sign,108.294792
sign,107.721083
sign,107.803959
sign,108.436834
sign,112.242791
sign,109.628209
sign,109.992333
sign,108.594875
sign,107.794208
sign,107.823417
sign,107.708458
sign,107.926750
sign,107.772833
sign,107.654292
sign,109.016833
sign,107.957500
sign,107.696875
sign,147.225375
sign,110.345167
sign,117.367542
sign,110.873250
sign,109.713916
sign,108.801125
sign,108.573000
sign,115.101083
sign,107.966500
sign,109.899917
sign,110.796750
sign,108.455125
sign,108.344125
sign,108.254375
sign,108.613209
sign,107.976083
sign,107.968292
sign,107.628791
sign,108.444375
sign,107.933167
sign,107.950958
sign,108.111500
sign,107.762250
sign,107.529625
sign,114.289500
sign,107.987917
sign,110.756708
sign,109.702791
verify,0.728833
verify,0.719958
verify,0.721375
verify,0.734250
verify,0.735667
verify,0.722417
verify,0.728125
verify,0.723125
verify,0.751084
verify,0.717959
verify,0.723459
verify,0.716166
verify,0.834000
verify,0.721834
verify,0.720417
verify,0.717791
verify,0.722709
verify,0.720750
verify,0.679584
verify,0.682792
verify,0.721000
verify,0.679333
verify,0.716916
verify,0.710625
verify,0.714416
verify,0.720750
verify,0.761083
verify,0.691000
verify,0.710250
verify,0.670208
verify,0.719958
verify,0.704542
verify,0.720584
verify,0.719750
verify,0.721166
verify,0.720833
verify,0.720834
verify,0.719500
verify,0.720708
verify,0.720166
verify,0.723166
verify,0.718500
verify,0.720166
verify,0.720125
verify,0.718958
verify,0.719375
verify,0.721708
verify,0.717833
verify,0.720167
verify,0.733459
verify,0.720917
verify,0.723458
verify,0.719167
verify,0.721750
verify,0.727750
verify,0.727125
verify,0.721334
verify,0.722000
verify,0.719709
verify,0.726666
verify,0.722584
verify,0.723625
verify,0.726167
verify,0.717291
verify,0.727042
verify,0.718250
verify,0.724417
verify,0.724875
verify,0.722209
verify,0.719375
verify,0.722625
verify,0.721250
verify,0.741833
verify,0.684458
verify,0.676458
verify,0.713792
verify,0.708708
verify,0.717125
verify,0.717959
verify,0.714417
verify,0.731750
verify,0.663500
verify,0.726583
verify,0.713125
verify,0.722292
verify,0.732959
verify,0.725417
verify,0.721542
verify,0.718208
verify,0.717875
verify,0.722625
verify,0.716792
verify,0.719625
verify,0.721708
verify,0.723417
verify,0.724083
verify,0.718625
verify,0.719333
verify,0.723167
verify,0.720000
verify,0.728958
verify,0.720625
verify,0.722959
verify,0.720750
verify,0.719792
verify,0.722875
verify,0.724958
verify,0.727625
verify,0.720209
verify,0.720458
verify,0.727750
verify,0.718791
verify,0.721792
verify,0.718792
verify,0.728334
verify,0.718416
verify,0.718416
verify,0.722625
verify,0.726333
verify,0.718583
verify,0.721750
verify,0.717583
verify,0.723167
verify,0.720666
verify,0.720792
verify,0.722250
verify,0.720208
verify,0.720000
verify,0.728416
verify,0.721250
verify,0.768667
verify,0.721542
verify,0.721458
verify,0.719625
verify,0.720958
verify,0.718209
verify,0.723708
verify,0.718834
verify,0.720708
verify,0.719208
verify,0.722041
verify,0.724916
verify,0.719209
verify,0.718291
verify,0.722291
verify,0.718916
verify,0.720666
verify,0.721833
verify,0.717750
verify,0.728458
verify,0.724250
verify,0.719291
verify,0.722666
verify,0.718500
verify,0.719625
verify,0.724792
verify,0.728041
verify,0.718666
verify,0.723083
verify,0.718500
verify,0.718667
verify,0.727791
verify,0.723833
verify,0.718125
verify,0.731625
verify,0.718458
verify,0.706958
verify,0.711708
verify,0.721042
verify,0.710625
verify,0.720916
verify,0.718500
verify,0.730333
verify,0.727625
verify,0.724334
verify,0.732000
verify,0.721291
verify,0.723000
verify,0.732708
verify,0.720375
verify,0.723125
verify,0.718209
verify,0.721750
verify,0.722667
verify,0.719583
verify,0.721958
verify,0.720959
verify,0.719083
verify,0.746959
verify,0.681292
verify,0.719375
verify,0.722500
verify,0.721000
verify,0.718583
verify,0.723292
verify,0.719667
verify,0.721833
verify,0.718459
verify,0.728541
verify,0.722209
verify,0.719583
verify,0.728750
verify,0.721584
verify,0.719291
verify,0.722958
verify,0.730292
verify,0.729583
verify,0.722875
verify,0.725208
verify,0.721625
verify,0.723416
verify,0.734083
verify,0.697167
verify,0.709542
verify,0.707208
verify,0.718167
verify,0.712667
verify,0.721375
verify,0.728125
verify,0.736208
verify,0.723417
verify,0.720708
verify,0.719208
verify,0.720167
verify,0.721459
verify,0.726834
verify,0.720000
verify,0.720209
verify,0.717666
verify,0.722500
verify,0.719750
verify,0.723792
verify,0.722416
verify,0.720542
verify,0.732167
verify,0.689958
verify,0.700000
verify,0.691625
verify,0.719125
verify,0.711709
verify,0.716625
verify,0.711917
verify,0.713000
verify,0.719084
verify,0.711833
verify,0.720500
verify,0.702875
verify,0.717333
verify,0.710250
verify,0.715375
verify,0.719542
verify,0.715125
verify,0.719000
verify,0.713458
verify,0.719917
verify,0.719833
verify,0.718500
verify,0.726417
verify,0.718917
verify,0.718459
verify,0.719667
verify,0.719917
verify,0.720792
verify,0.720042
verify,0.719042
verify,0.719833
verify,0.718542
verify,0.719834
verify,0.719458
verify,0.720791
verify,0.719958
verify,0.719083
verify,0.718584
verify,0.720750
verify,0.729458
verify,0.718459
verify,0.727458
verify,0.720625
verify,0.718292
verify,0.725625
verify,0.733125
verify,0.727250
verify,0.722000
verify,0.719125
verify,0.722250
verify,0.721625
verify,0.717375
verify,0.723000
verify,0.718708
verify,0.720417
verify,0.732208
verify,0.719917
verify,0.718583
verify,0.722667
verify,0.718959
verify,0.722416
verify,0.719958
verify,0.725167
verify,0.722208
verify,0.718709
verify,0.718541
verify,0.722959
verify,0.719709
verify,0.732000
verify,0.720375
verify,0.720875
verify,0.721625
verify,0.717875
verify,0.718292
verify,0.722750
verify,0.720333
verify,0.718833
verify,0.720875
verify,0.719917
verify,0.718292
verify,0.723041
verify,0.718667
verify,0.724542
verify,0.719208
verify,0.718625
verify,0.721666
verify,0.721459
verify,0.720125
verify,0.723583
verify,0.718667
verify,0.718875
verify,0.724458
verify,0.719792
verify,0.720792
verify,0.721667
verify,0.718666
verify,0.725750
verify,0.718917
verify,0.719625
verify,0.720750
verify,0.720291
verify,0.718875
verify,0.730125
verify,0.720458
verify,0.722333
verify,0.728250
verify,0.724750
verify,0.729916
verify,0.720666
verify,0.725584
verify,0.723708
verify,0.718834
verify,0.736375
verify,0.718709
verify,0.726833
verify,0.723292
verify,0.720625
verify,0.720708
verify,0.724042
verify,0.722750
verify,0.722292
verify,0.720708
verify,0.726000
verify,0.722084
verify,0.725458
verify,0.722250
verify,0.725458
verify,0.720625
verify,0.718834
verify,0.721750
verify,0.725125
verify,0.722625
verify,0.723333
verify,0.725167
verify,0.719500
verify,0.721125
verify,0.730250
verify,0.722125
verify,0.729166
verify,0.718708
verify,0.725875
verify,0.721291
verify,0.728584
verify,0.718250
verify,0.722333
verify,0.722667
verify,0.729041
verify,0.718750
verify,0.717958
verify,0.726042
verify,0.720959
verify,0.723458
verify,0.719583
verify,0.725625
verify,0.723666
verify,0.718667
verify,0.727750
verify,0.719958
