operation,sample_ms
keygen,0.474458
keygen,0.457166
keygen,0.453875
keygen,0.457000
keygen,0.436125
keygen,0.438542
keygen,0.434042
keygen,0.433834
keygen,0.438292
keygen,0.438375
keygen,0.439083
keygen,0.438458
keygen,0.434750
keygen,0.437250
keygen,0.481083
keygen,0.458708
keygen,0.442500
keygen,0.464917
keygen,0.450625
keygen,0.451875
keygen,0.450583
keygen,0.451459
keygen,0.451042
keygen,0.452125
keygen,0.454333
keygen,0.451958
keygen,0.451750
keygen,0.460292
keygen,0.469583
keygen,0.465167
keygen,0.473459
keygen,0.452750
keygen,0.452250
keygen,0.519458
keygen,0.457458
keygen,0.442875
keygen,0.453167
keygen,0.448250
keygen,0.441250
keygen,0.441958
keygen,0.438167
keygen,0.440500
keygen,0.438708
keygen,0.437875
keygen,0.436791
keygen,0.437583
keygen,0.437708
keygen,0.438875
keygen,0.442083
keygen,0.440000
keygen,0.437792
keygen,0.445667
keygen,0.446834
keygen,0.443500
keygen,0.446708
keygen,0.445584
keygen,0.446500
keygen,0.446541
keygen,0.445250
keygen,0.444541
keygen,0.444375
keygen,0.444541
keygen,0.444416
keygen,0.445334
keygen,0.444333
keygen,0.452333
keygen,0.511833
keygen,0.454125
keygen,0.446000
keygen,0.447833
keygen,0.446916
keygen,0.446625
keygen,0.446667
keygen,0.447541
keygen,0.443416
keygen,0.444458
keygen,0.445958
keygen,0.436916
keygen,0.435541
keygen,0.435416
keygen,0.435000
keygen,0.435458
keygen,0.435709
keygen,0.435416
keygen,0.435250
keygen,0.435625
keygen,0.435917
keygen,0.436625
keygen,0.436458
keygen,0.440459
keygen,0.436541
keygen,0.434583
keygen,0.435375
keygen,0.435708
keygen,0.435542
keygen,0.435209
keygen,0.435208
keygen,0.433792
keygen,0.436541
keygen,0.436541
keygen,0.437041
keygen,0.436000
keygen,0.435958
keygen,0.454417
keygen,0.453500
keygen,0.450541
keygen,0.449958
keygen,0.449834
keygen,0.446208
keygen,0.441000
keygen,0.443459
keygen,0.445875
keygen,0.442833
keygen,0.445875
keygen,0.445875
keygen,0.444833
keygen,0.444875
keygen,0.445208
keygen,0.445500
keygen,0.445458
keygen,0.445042
keygen,0.441625
keygen,0.440833
keygen,0.445334
keygen,0.441041
keygen,0.440500
keygen,0.442209
keygen,0.445500
keygen,0.441583
keygen,0.444583
keygen,0.459125
keygen,0.440708
keygen,0.440500
keygen,0.440875
keygen,0.440583
keygen,0.440542
keygen,0.440875
keygen,0.440625
keygen,0.440500
keygen,0.441084
keygen,0.440875
keygen,0.456625
keygen,0.441875
keygen,0.444583
keygen,0.442834
keygen,0.443958
keygen,0.439625
keygen,0.443125
keygen,0.439875
keygen,0.440750
keygen,0.437417
keygen,0.438292
keygen,0.435416
keygen,0.443083
keygen,0.459333
keygen,0.443666
keygen,0.445708
keygen,0.469959
keygen,0.439375
keygen,0.442458
keygen,0.438875
keygen,0.441167
keygen,0.442875
keygen,0.437000
keygen,0.444750
keygen,0.438709
keygen,0.450667
keygen,0.439792
keygen,0.442750
keygen,0.442542
keygen,0.432417
keygen,0.432667
keygen,0.434959
keygen,0.438166
keygen,0.430291
keygen,0.432250
keygen,0.436500
keygen,0.435750
keygen,0.450333
keygen,0.462291
keygen,0.455125
keygen,0.452166
keygen,0.446084
keygen,0.436208
keygen,0.440250
keygen,0.487750
keygen,0.465334
keygen,0.440958
keygen,0.441125
keygen,0.441625
keygen,0.444625
keygen,0.441041
keygen,0.446541
keygen,0.445916
keygen,0.448708
keygen,0.444792
keygen,0.443500
keygen,0.446541
keygen,0.445625
keygen,0.441125
keygen,0.443416
keygen,0.445042
keygen,0.446625
keygen,0.449458
keygen,0.447500
keygen,0.447041
keygen,0.440750
keygen,0.448041
keygen,0.450541
keygen,0.442834
keygen,0.442125
keygen,0.450208
keygen,0.456042
keygen,0.442875
keygen,0.443709
keygen,0.443000
keygen,0.452000
keygen,0.441250
keygen,0.442416
keygen,0.442708
keygen,0.442750
keygen,0.443916
keygen,0.441125
keygen,0.446375
keygen,0.447625
keygen,0.451792
keygen,0.445750
keygen,0.441167
keygen,0.451042
keygen,0.443625
keygen,0.443875
keygen,0.447167
keygen,0.444583
keygen,0.443875
keygen,0.441167
keygen,0.445375
keygen,0.441208
keygen,0.440917
keygen,0.443500
keygen,0.441750
keygen,0.440750
keygen,0.440708
keygen,0.447750
keygen,0.441000
keygen,0.447000
keygen,0.445791
keygen,0.445583
keygen,0.443584
keygen,0.443250
keygen,0.443125
keygen,0.443750
keygen,0.443292
keygen,0.447500
keygen,0.452416
keygen,0.441167
keygen,0.441000
keygen,0.441291
keygen,0.444500
keygen,0.443792
keygen,0.443750
keygen,0.442958
keygen,0.446333
keygen,0.442083
keygen,0.440792
keygen,0.441083
keygen,0.441292
keygen,0.441000
keygen,0.441084
keygen,0.441666
keygen,0.444583
keygen,0.438209
keygen,0.438333
keygen,0.437792
keygen,0.445208
keygen,0.442292
keygen,0.446667
keygen,0.440666
keygen,0.438000
keygen,0.438041
keygen,0.438083
keygen,0.437750
keygen,0.438416
keygen,0.438084
keygen,0.437916
keygen,0.438167
keygen,0.437709
keygen,0.442291
keygen,0.438375
keygen,0.437917
keygen,0.438208
keygen,0.437625
keygen,0.455959
keygen,0.460625
keygen,0.433625
keygen,0.432167
keygen,0.432250
keygen,0.446416
keygen,0.449375
keygen,0.446625
keygen,0.445750
keygen,0.448750
keygen,0.449875
keygen,0.448625
keygen,0.448833
keygen,0.449959
keygen,0.447666
keygen,0.446709
keygen,0.445416
keygen,0.451083
keygen,0.448625
keygen,0.446834
