operation,sample_ms
keygen,28.688875
keygen,28.016250
keygen,27.663750
keygen,28.380167
keygen,28.206625
keygen,27.896250
keygen,28.021917
keygen,28.209000
keygen,28.141041
keygen,28.120542
keygen,28.113667
keygen,28.265000
keygen,28.301292
keygen,28.284584
keygen,27.956792
keygen,27.981333
keygen,28.134459
keygen,28.112166
keygen,28.045042
keygen,27.990542
keygen,27.905375
keygen,28.017333
keygen,28.488000
keygen,28.441667
keygen,28.032083
keygen,28.247417
keygen,28.081833
keygen,27.961333
keygen,28.131125
keygen,28.057542
keygen,28.281875
keygen,28.239500
keygen,28.153833
keygen,28.561625
keygen,28.397583
keygen,28.455542
keygen,28.352333
keygen,28.446333
keygen,28.315083
keygen,28.397167
keygen,27.887708
keygen,27.529042
keygen,28.343500
keygen,27.534084
keygen,27.824500
keygen,27.871958
keygen,27.595584
keygen,27.808041
keygen,28.239083
keygen,28.573209
keygen,28.592750
keygen,28.051375
keygen,28.368917
keygen,27.949417
keygen,28.112875
keygen,28.170500
keygen,27.624834
keygen,27.645500
keygen,27.658209
keygen,27.889291
keygen,28.006375
keygen,28.077750
keygen,28.318459
keygen,28.087541
keygen,28.109791
keygen,28.510167
keygen,28.572625
keygen,28.101459
keygen,27.940125
keygen,27.805750
keygen,27.771750
keygen,27.875417
keygen,27.826500
keygen,27.806333
keygen,27.970625
keygen,27.883625
keygen,27.869084
keygen,27.751125
keygen,27.619209
keygen,27.553750
keygen,27.597625
keygen,27.519666
keygen,27.507166
keygen,27.365666
keygen,27.351958
keygen,27.341625
keygen,27.386625
keygen,27.393584
keygen,28.205166
keygen,28.609042
keygen,28.566917
keygen,28.395542
keygen,28.121250
keygen,28.207250
keygen,28.063250
keygen,28.032292
keygen,28.027834
keygen,27.774250
keygen,27.735042
keygen,27.657250
keygen,27.810209
keygen,27.615666
keygen,27.465458
keygen,27.406625
keygen,27.932584
keygen,27.618583
keygen,27.898375
keygen,27.749709
keygen,27.691375
keygen,28.420375
keygen,28.400750
keygen,28.400042
keygen,27.972625
keygen,27.353167
keygen,27.298500
keygen,27.402417
keygen,27.252334
keygen,27.332708
keygen,27.491209
keygen,27.540334
keygen,27.508417
keygen,27.671084
keygen,27.620959
keygen,27.630250
keygen,27.736041
keygen,27.709459
keygen,27.666000
keygen,27.643500
keygen,27.657667
keygen,27.767750
keygen,27.873000
keygen,27.322042
keygen,27.364833
keygen,27.475125
keygen,27.568542
keygen,27.390959
keygen,27.516291
keygen,27.565083
keygen,27.526500
keygen,27.529459
keygen,27.644125
keygen,30.370375
keygen,28.595625
keygen,28.384042
keygen,28.274208
keygen,28.223416
keygen,28.338625
keygen,28.483084
keygen,28.577125
keygen,28.352708
keygen,28.078708
keygen,28.052459
keygen,28.076875
keygen,28.051541
keygen,27.821167
keygen,27.754875
keygen,27.717209
keygen,27.733459
keygen,27.919458
keygen,27.935167
keygen,28.024625
keygen,27.964833
keygen,28.338709
keygen,27.962625
keygen,28.118625
keygen,27.915208
keygen,27.947083
keygen,27.758208
keygen,27.580375
keygen,27.899667
keygen,27.869583
keygen,28.185083
keygen,29.304875
keygen,29.416417
keygen,29.027750
keygen,28.048958
keygen,28.428250
keygen,30.131375
keygen,28.729792
keygen,29.466750
keygen,29.274083
keygen,29.737541
keygen,29.838167
keygen,28.197416
keygen,38.957709
keygen,35.186500
keygen,28.323042
keygen,28.035625
keygen,28.157292
keygen,27.854042
keygen,27.619250
keygen,27.493834
keygen,27.291208
keygen,27.232625
keygen,27.376000
keygen,27.401042
keygen,27.442083
keygen,27.393834
keygen,27.305291
keygen,27.276417
keygen,27.934458
keygen,28.077334
keygen,27.979500
keygen,27.692042
keygen,27.853834
keygen,27.640833
keygen,27.626958
keygen,27.714875
keygen,27.464125
keygen,27.628958
keygen,27.510875
keygen,27.591209
keygen,27.636166
keygen,27.580666
keygen,27.381084
keygen,28.171000
