timestamp,worker_id,ops_total,analysis_ops,rss_bytes,system_cpu_percent
1763268241.910570,2,2443,0,450150400,45.26
1763268241.910627,4,2500,0,450150400,45.26
1763268241.910676,5,2376,0,450150400,45.26
1763268241.910722,0,2418,0,450150400,45.26
1763268241.910755,6,2449,0,450150400,45.26
1763268241.910840,3,2439,0,450150400,45.26
1763268241.910924,1,2355,0,450150400,45.26
1763268241.910995,7,2480,0,450150400,45.26
1763268242.160614,2,4865,0,452018176,45.26
1763268242.160710,6,4884,0,452018176,45.26
1763268242.160747,0,4812,0,452018176,45.26
1763268242.160780,7,4930,0,452018176,45.26
1763268242.160828,5,4829,0,452018176,45.26
1763268242.160863,4,4861,0,452018176,45.26
1763268242.160902,3,4884,0,452018176,45.26
1763268242.160992,1,4698,0,452018176,45.26
1763268242.410622,2,7257,0,453902336,45.26
1763268242.410667,4,7322,0,453902336,45.26
1763268242.410703,5,7290,0,453902336,45.26
1763268242.410776,6,7361,0,453902336,45.26
1763268242.410815,3,7356,0,453902336,45.26
1763268242.410848,0,7296,0,453902336,45.26
1763268242.410881,1,7067,0,453902336,45.26
1763268242.410929,7,7293,0,453902336,45.26
1763268242.660552,0,9699,1,455802880,45.26
1763268242.660602,2,9725,1,455802880,45.26
1763268242.660689,5,9742,1,455802880,45.26
1763268242.660726,3,9861,1,455802880,45.26
1763268242.660759,7,9755,1,455802880,45.26
1763268242.660813,6,9850,1,455802880,45.26
1763268242.660850,4,9766,1,455802880,45.26
1763268242.661768,1,9530,1,455819264,45.26
1763268242.910613,4,12230,2465,457703424,45.26
1763268242.910655,6,12246,2397,457703424,45.26
1763268242.910720,2,12127,2403,457703424,45.26
1763268242.910786,5,12149,2408,457703424,45.26
1763268242.910836,3,12322,2462,457703424,45.26
1763268242.910868,1,11994,2465,457703424,45.26
1763268242.911014,0,12080,2382,457719808,45.26
1763268242.911044,7,12201,2447,457719808,45.26
1763268243.160617,0,14422,4724,459505664,45.26
