timestamp,worker_id,ops_total,analysis_ops,rss_bytes,system_cpu_percent,cpu_temperature_c
1763116408.221366,0,1862,0,46071808,65.86,
1763116408.221386,3,1919,0,45875200,65.86,
1763116408.221487,5,1976,0,45875200,65.86,
1763116408.221473,4,1867,0,46170112,65.86,
1763116408.221530,1,1817,0,46104576,65.86,
1763116408.221508,2,1888,0,46415872,65.86,
1763116408.471326,3,3786,0,45907968,65.86,
1763116408.471350,0,3643,0,46104576,65.86,
1763116408.471420,5,3740,0,45907968,65.86,
1763116408.471482,2,3681,0,46448640,65.86,
1763116408.471499,1,3548,0,46153728,65.86,
1763116408.471507,4,3629,0,46202880,65.86,
1763116408.721338,2,5448,0,46448640,65.86,
1763116408.721352,3,5557,0,45907968,65.86,
1763116408.721379,5,5547,0,45907968,65.86,
1763116408.721432,0,5474,0,46104576,65.86,
1763116408.721537,4,5399,0,46202880,65.86,
1763116408.721603,1,5361,0,46153728,65.86,
1763116408.971316,0,7432,1,46104576,65.86,
1763116408.971325,3,7470,1,45907968,65.86,
1763116408.971372,2,7398,1,46448640,65.86,
1763116408.971409,5,7572,1,45907968,65.86,
1763116408.971453,1,7324,1,46153728,65.86,
1763116408.971475,4,7343,1,46202880,65.86,
1763116409.221287,0,9446,2015,46170112,65.86,
1763116409.221291,3,9375,1906,46006272,65.86,
1763116409.221384,2,9315,1918,46481408,65.86,
1763116409.221512,1,9285,1962,46186496,65.86,
1763116409.221565,4,9357,2015,46235648,65.86,
1763116409.221533,5,9493,1922,46022656,65.86,
1763116409.471294,0,11424,3993,46170112,65.86,
1763116409.471334,3,11412,3943,46006272,65.86,
1763116409.471385,1,11257,3934,46186496,65.86,
1763116409.471399,4,11390,4048,46235648,65.86,
1763116409.471437,2,11316,3919,46481408,65.86,
1763116409.471563,5,11442,3871,46022656,65.86,
1763116409.721426,0,13360,5929,46170112,65.86,
1763116409.721435,4,13328,5986,46235648,65.86,
1763116409.721448,5,13424,5853,46022656,65.86,
1763116409.721465,1,13253,5930,46186496,65.86,
1763116409.721482,2,13357,5960,46481408,65.86,
1763116409.721472,3,13335,5866,46006272,65.86,
1763116409.971450,1,15105,7782,46186496,65.86,
1763116409.971472,2,15225,7828,46481408,65.86,
1763116409.971488,4,15214,7872,46235648,65.86,
1763116409.971523,0,15221,7790,46170112,65.86,
1763116409.971532,3,15234,7765,46006272,65.86,
1763116409.971658,5,15356,7785,46022656,65.86,
1763116410.221347,0,17231,9800,46170112,65.86,
1763116410.221354,1,17068,9745,46186496,65.86,
1763116410.221449,2,17162,9765,46481408,65.86,
1763116410.221470,5,17346,9775,46022656,65.86,
1763116410.221526,4,17179,9837,46235648,65.86,
1763116410.221543,3,17168,9699,46006272,65.86,
1763116410.471442,2,18912,11515,46481408,65.86,
1763116410.471498,1,18830,11507,46186496,65.86,
1763116410.471500,5,19123,11552,46022656,65.86,
1763116410.471545,3,18961,11492,46006272,65.86,
1763116410.471537,4,19025,11683,46235648,65.86,
1763116410.471513,0,19098,11667,46170112,65.86,
1763116410.721437,3,20503,13034,46006272,65.86,
1763116410.721446,2,20720,13323,46481408,65.86,
1763116410.721518,4,20813,13471,46252032,65.86,
1763116410.721501,0,20936,13505,46186496,65.86,
1763116410.721538,1,20720,13397,46186496,65.86,
