timestamp,worker_id,ops_total,analysis_ops,rss_bytes,system_cpu_percent
1763268453.386035,1,1798,0,632963072,50.48
1763268453.386089,3,1825,0,632963072,50.48
1763268453.386135,0,1796,0,632963072,50.48
1763268453.386173,2,1758,0,632963072,50.48
1763268453.636072,2,3553,0,632963072,50.48
1763268453.636112,0,3587,0,632963072,50.48
1763268453.636149,1,3566,0,632963072,50.48
1763268453.636305,3,3588,0,632963072,50.48
1763268453.886031,3,5352,0,632963072,50.48
1763268453.886066,1,5349,0,632963072,50.48
1763268453.886107,0,5410,0,632963072,50.48
1763268453.886142,2,5374,0,632963072,50.48
1763268454.136050,0,7234,1,632963072,50.48
1763268454.136080,2,7177,1,632963072,50.48
1763268454.136124,3,7154,1,632963072,50.48
1763268454.136160,1,7165,1,632963072,50.48
1763268454.386018,2,8971,1795,632995840,50.48
1763268454.386053,3,8972,1819,632995840,50.48
1763268454.386090,0,9070,1837,632995840,50.48
1763268454.386126,1,8941,1777,632995840,50.48
1763268454.635991,1,10760,3596,632995840,50.48
1763268454.636152,0,10874,3641,632995840,50.48
1763268454.636212,2,10784,3608,632995840,50.48
1763268454.636301,3,10788,3635,632995840,50.48
1763268454.885987,1,12583,5419,632995840,50.48
1763268454.886064,3,12602,5449,632995840,50.48
1763268454.886092,0,12696,5463,632995840,50.48
1763268454.886163,2,12621,5445,632995840,50.48
1763268455.136066,1,14383,7219,632995840,50.48
1763268455.136107,2,14423,7247,632995840,50.48
1763268455.136144,3,14422,7269,632995840,50.48
1763268455.136202,0,14480,7247,632995840,50.48
1763268455.386051,2,16202,9026,632995840,50.48
1763268455.386092,1,16155,8991,632995840,50.48
1763268455.386131,3,16154,9001,632995840,50.48
1763268455.386167,0,16314,9081,632995840,50.48
1763268455.636136,1,17916,10752,632995840,50.48
1763268455.636180,3,17913,10760,632995840,50.48
1763268455.636274,0,18070,10837,632995840,50.48
1763268455.636332,2,17961,10785,632995840,50.48
1763268455.886097,2,19566,12390,632995840,50.48
1763268455.886148,1,19489,12325,632995840,50.48
1763268455.886204,0,19658,12425,632995840,50.48
1763268455.886258,3,19515,12362,632995840,50.48
1763268456.135980,1,21266,14102,632995840,50.48
1763268456.136021,0,21412,14179,632995840,50.48
1763268456.136065,2,21362,14186,632995840,50.48
1763268456.136130,3,21284,14131,632995840,50.48
1763268456.386053,1,23145,15981,632995840,50.48
1763268456.386089,0,23267,16034,632995840,50.48
1763268456.386123,3,23091,15938,632995840,50.48
1763268456.386167,2,23227,16051,632995840,50.48
1763268456.636034,1,24982,17818,632995840,50.48
1763268456.636085,3,24909,17756,632995840,50.48
1763268456.636151,2,25036,17860,632995840,50.48
1763268456.636200,0,25076,17843,632995840,50.48
1763268456.886001,1,26748,19584,632995840,50.48
1763268456.886053,3,26640,19487,632995840,50.48
1763268456.886100,2,26772,19596,632995840,50.48
1763268456.886150,0,26885,19652,632995840,50.48
1763268457.136045,2,28549,21373,632995840,50.48
1763268457.136099,1,28528,21364,632995840,50.48
1763268457.136145,0,28617,21384,632995840,50.48
1763268457.136192,3,28459,21306,632995840,50.48
1763268457.386019,0,30438,23205,632995840,50.48
1763268457.386061,1,30378,23214,632995840,50.48
1763268457.386126,3,30300,23147,632995840,50.48
1763268457.386166,2,30355,23179,632995840,50.48
1763268457.636016,2,32154,24978,632995840,50.48
1763268457.636053,1,32195,25031,632995840,50.48
1763268457.636178,0,32264,25031,632995840,50.48
1763268457.636230,3,32097,24944,632995840,50.48
1763268457.886032,2,33971,26795,632995840,50.48
1763268457.886072,1,34036,26872,632995840,50.48
1763268457.886103,0,34111,26878,632995840,50.48
1763268457.886246,3,33963,26810,632995840,50.48
1763268458.136121,1,35671,28507,632995840,50.48
1763268458.136174,3,35626,28473,632995840,50.48
1763268458.136225,0,35741,28508,632995840,50.48
1763268458.136283,2,35616,28440,632995840,50.48
1763268458.385981,1,37495,30331,632995840,50.48
1763268458.386022,3,37447,30294,632995840,50.48
1763268458.386072,2,37429,30253,632995840,50.48
1763268458.386193,0,37547,30314,632995840,50.48
1763268458.636002,1,39338,32174,632995840,50.48
1763268458.636074,2,39277,32101,632995840,50.48
1763268458.636115,0,39410,32177,632995840,50.48
1763268458.636351,3,39291,32138,632995840,50.48
1763268458.886009,1,41191,34027,632995840,50.48
1763268458.886045,3,41130,33977,632995840,50.48
1763268458.886089,2,41131,33955,632995840,50.48
1763268458.886119,0,41274,34041,632995840,50.48
1763268459.136105,0,43164,35931,632995840,50.48
1763268459.136142,2,43009,35833,632995840,50.48
1763268459.136187,1,43015,35851,632995840,50.48
1763268459.136384,3,42943,35790,632995840,50.48
1763268459.386006,2,44893,37717,632995840,50.48
1763268459.386046,0,45023,37790,632995840,50.48
1763268459.386111,3,44795,37642,632995840,50.48
1763268459.386179,1,44841,37677,632995840,50.48
1763268459.636050,3,46614,39461,632995840,50.48
1763268459.636086,0,46846,39613,632995840,50.48
1763268459.636125,2,46730,39554,632995840,50.48
1763268459.636240,1,46693,39529,632995840,50.48
1763268459.885996,1,48550,41386,632995840,50.48
1763268459.886034,2,48605,41429,632995840,50.48
1763268459.886075,0,48696,41463,632995840,50.48
1763268459.886156,3,48507,41354,632995840,50.48
1763268460.136074,3,50348,43195,632995840,50.48
1763268460.136102,0,50513,43280,632995840,50.48
1763268460.136165,1,50397,43233,632995840,50.48
1763268460.136222,2,50451,43275,632995840,50.48
1763268460.386022,3,52201,45048,632995840,50.48
1763268460.386054,2,52299,45123,632995840,50.48
1763268460.386088,0,52380,45147,632995840,50.48
1763268460.386159,1,52244,45080,632995840,50.48
1763268460.636090,1,53888,46724,632995840,50.48
1763268460.636149,3,53810,46657,632995840,50.48
1763268460.636203,0,54043,46810,632995840,50.48
