timestamp,worker_id,ops_total,analysis_ops,rss_bytes,system_cpu_percent,cpu_temperature_c
1763116659.754365,4,2923,0,45121536,96.35,
1763116659.754344,2,2902,0,45531136,96.35,
1763116659.754353,7,2768,0,45400064,96.35,
1763116659.754387,0,2895,0,45711360,96.35,
1763116659.754445,6,2915,0,45105152,96.35,
1763116659.754457,1,2914,0,45383680,96.35,
1763116659.754457,3,2854,0,45629440,96.35,
1763116659.754528,5,2896,0,45301760,96.35,
1763116660.004352,2,5782,0,45842432,96.35,
1763116660.004340,0,5775,0,46039040,96.35,
1763116660.004411,4,5648,0,45416448,96.35,
1763116660.004414,7,5527,0,45694976,96.35,
1763116660.004433,1,5718,0,45694976,96.35,
1763116660.004437,6,5716,0,45432832,96.35,
1763116660.004456,3,5723,0,45924352,96.35,
1763116660.004465,5,5678,0,45596672,96.35,
1763116660.254330,2,8729,0,46137344,96.35,
1763116660.254391,3,8629,0,46202880,96.35,
1763116660.254402,6,8617,0,45711360,96.35,
1763116660.254450,5,8544,0,45875200,96.35,
1763116660.254433,7,8434,0,45973504,96.35,
1763116660.254456,0,8519,0,46301184,96.35,
1763116660.254476,4,8508,0,45694976,96.35,
1763116660.254502,1,8580,0,45973504,96.35,
1763116660.504293,2,11605,1,46415872,96.35,
1763116660.504388,1,11537,1,46252032,96.35,
1763116660.504387,0,11275,1,46563328,96.35,
1763116660.504410,3,11418,1,46481408,96.35,
1763116660.504428,4,11315,1,45973504,96.35,
1763116660.504420,6,11494,1,46006272,96.35,
1763116660.504439,7,11207,1,46252032,96.35,
1763116660.504477,5,11338,1,46137344,96.35,
1763116660.754372,3,14333,2916,46792704,96.35,
1763116660.754403,0,14168,2894,46923776,96.35,
1763116660.754409,7,14074,2868,46645248,96.35,
1763116660.754375,4,14218,2904,46350336,96.35,
1763116660.754419,6,14379,2886,46350336,96.35,
1763116660.754396,2,14594,2990,46743552,96.35,
1763116660.754441,1,14414,2878,46678016,96.35,
1763116660.754456,5,14249,2912,46465024,96.35,
1763116661.004256,2,17533,5929,47022080,96.35,
1763116661.004407,3,17245,5828,47071232,96.35,
1763116661.004404,0,17062,5788,47218688,96.35,
1763116661.004468,6,17325,5832,46645248,96.35,
1763116661.004510,5,17187,5850,46727168,96.35,
1763116661.004471,4,17106,5792,46645248,96.35,
1763116661.004489,1,17365,5829,46940160,96.35,
1763116661.004509,7,16977,5771,46907392,96.35,
1763116661.254285,2,20492,8888,47316992,96.35,
1763116661.254333,0,20011,8737,47497216,96.35,
1763116661.254414,4,20016,8702,46907392,96.35,
1763116661.254435,7,19823,8617,47185920,96.35,
1763116661.254447,3,20177,8760,47349760,96.35,
1763116661.254445,1,20284,8748,47218688,96.35,
1763116661.254453,5,20104,8767,47022080,96.35,
1763116661.254535,6,20227,8734,46923776,96.35,
1763116661.504365,2,23364,11760,47579136,96.35,
1763116661.504402,0,22897,11623,47775744,96.35,
1763116661.504411,4,22919,11605,47185920,96.35,
1763116661.504394,7,22679,11473,47497216,96.35,
1763116661.504434,6,23145,11652,47202304,96.35,
1763116661.504424,3,23061,11644,47644672,96.35,
1763116661.504444,5,23002,11665,47300608,96.35,
1763116661.504485,1,23234,11698,47513600,96.35,
1763116661.754309,2,26494,14890,47890432,96.35,
1763116661.754321,0,25422,14148,48021504,96.35,
1763116661.754371,7,25005,13799,47710208,96.35,
1763116661.754407,6,25676,14183,47448064,96.35,
1763116661.781607,1,25595,14059,47742976,96.35,
1763116661.793271,5,24947,13610,47497216,96.35,
1763116661.793289,3,24847,13430,47808512,96.35,
1763116661.793326,4,25878,14564,47480832,96.35,
1763116662.004313,0,27780,16506,48267264,96.35,
1763116662.004424,1,27375,15839,47923200,96.35,
1763116662.004453,3,26875,15458,48005120,96.35,
1763116662.004467,4,27837,16523,47677440,96.35,
1763116662.004791,7,27582,16376,47955968,96.35,
1763116662.004425,2,28655,17051,48103424,96.35,
1763116662.004901,5,26896,15559,47677440,96.35,
1763116662.004453,6,27922,16429,47661056,96.35,
