timestamp,worker_id,ops_total,analysis_ops,rss_bytes,system_cpu_percent,cpu_temperature_c
1763115640.515926,2,181,0,45907968,99.40,
1763115640.515868,4,204,0,46202880,99.40,
1763115640.516009,9,229,0,46104576,99.40,
1763115640.515995,8,207,0,45793280,99.40,
1763115640.516391,3,190,0,46252032,99.40,
1763115640.515868,0,207,0,46202880,99.40,
1763115640.516003,6,245,0,46186496,99.40,
1763115640.516337,5,200,0,45760512,99.40,
1763115640.521628,7,262,0,46219264,99.40,
1763115640.526406,1,191,0,45875200,99.40,
1763115640.765794,6,470,0,46235648,99.40,
1763115640.765877,2,406,0,45957120,99.40,
1763115640.765910,5,419,0,45793280,99.40,
1763115640.766238,9,447,0,46153728,99.40,
1763115640.766542,3,415,0,46301184,99.40,
1763115640.766195,4,423,0,46252032,99.40,
1763115640.765885,8,417,0,45826048,99.40,
1763115640.767968,0,418,0,46235648,99.40,
1763115640.771674,7,551,0,46268416,99.40,
1763115640.775950,1,417,0,45924352,99.40,
1763115641.016210,5,649,0,45793280,99.40,
1763115641.015626,3,638,0,46301184,99.40,
1763115641.016000,6,703,0,46235648,99.40,
1763115641.015738,2,634,0,45957120,99.40,
1763115641.016056,8,647,0,45826048,99.40,
1763115641.016309,9,671,0,46153728,99.40,
1763115641.015692,4,652,0,46252032,99.40,
1763115641.016418,0,651,0,46235648,99.40,
1763115641.022087,7,782,0,46268416,99.40,
1763115641.025835,1,640,0,45924352,99.40,
1763115641.265839,8,886,1,45826048,99.40,
1763115641.265812,5,879,1,45793280,99.40,
1763115641.266057,4,879,1,46252032,99.40,
1763115641.265502,2,877,1,45957120,99.40,
1763115641.265904,9,910,1,46153728,99.40,
1763115641.266271,6,935,1,46235648,99.40,
1763115641.266357,3,881,1,46301184,99.40,
1763115641.266255,0,890,1,46235648,99.40,
1763115641.272305,7,1023,1,46268416,99.40,
1763115641.275958,1,887,1,45924352,99.40,
1763115641.515760,9,1157,248,46170112,99.40,
1763115641.516510,6,1190,256,46252032,99.40,
1763115641.515944,2,1123,247,45957120,99.40,
1763115641.516033,0,1141,252,46252032,99.40,
1763115641.515728,3,1122,242,46317568,99.40,
1763115641.516027,8,1143,258,45842432,99.40,
1763115641.516067,5,1135,257,45809664,99.40,
1763115641.516270,4,1138,260,46268416,99.40,
1763115641.521552,7,1276,254,46284800,99.40,
1763115641.526262,1,1136,250,45940736,99.40,
1763115641.765755,9,1420,511,46170112,99.40,
1763115641.765558,0,1407,518,46252032,99.40,
