timestamp,worker_id,ops_total,analysis_ops,rss_bytes,system_cpu_percent,cpu_temperature_c
1763115693.261157,4,125,0,45711360,79.82,
1763115693.261096,0,130,0,45678592,79.82,
1763115693.261179,3,126,0,45875200,79.82,
1763115693.261423,1,126,0,45842432,79.82,
1763115693.262067,2,122,0,45367296,79.82,
1763115693.261048,5,129,0,45580288,79.82,
1763115693.512520,0,255,0,45727744,79.82,
1763115693.511820,1,253,0,45891584,79.82,
1763115693.512052,2,248,0,45416448,79.82,
1763115693.511000,3,248,0,45924352,79.82,
1763115693.513249,4,251,0,45760512,79.82,
1763115693.511017,5,251,0,45613056,79.82,
1763115693.761957,3,372,0,45924352,79.82,
1763115693.761601,2,374,0,45416448,79.82,
1763115693.762195,1,382,0,45891584,79.82,
1763115693.761946,0,379,0,45727744,79.82,
1763115693.761998,5,375,0,45613056,79.82,
1763115693.761953,4,375,0,45760512,79.82,
1763115694.012209,2,510,1,45416448,79.82,
1763115694.012392,1,512,1,45891584,79.82,
1763115694.011777,3,505,1,45924352,79.82,
1763115694.011114,0,507,1,45727744,79.82,
1763115694.011004,5,506,1,45613056,79.82,
1763115694.011428,4,505,1,45760512,79.82,
1763115694.261052,0,638,132,45727744,79.82,
1763115694.260954,4,635,131,45760512,79.82,
1763115694.261531,1,641,130,45891584,79.82,
1763115694.262062,5,638,133,45629440,79.82,
1763115694.261498,2,642,133,45416448,79.82,
1763115694.261494,3,637,133,45924352,79.82,
1763115694.510916,4,768,264,45776896,79.82,
1763115694.511461,1,771,260,45907968,79.82,
1763115694.511569,0,773,267,45744128,79.82,
1763115694.512164,2,772,263,45432832,79.82,
1763115694.512288,5,771,266,45629440,79.82,
1763115694.512166,3,767,263,45940736,79.82,
1763115694.761121,0,907,401,45760512,79.82,
1763115694.761528,3,897,393,45940736,79.82,
1763115694.762779,4,901,397,45776896,79.82,
1763115694.761581,1,903,392,45907968,79.82,
1763115694.761506,5,905,400,45629440,79.82,
1763115694.762050,2,907,398,45432832,79.82,
1763115695.011908,4,1033,529,45776896,79.82,
1763115695.011518,1,1038,527,45907968,79.82,
1763115695.011731,0,1040,534,45760512,79.82,
1763115695.010928,3,1028,524,45940736,79.82,
1763115695.011692,2,1043,534,45432832,79.82,
1763115695.011430,5,1040,535,45629440,79.82,
1763115695.261337,0,1168,662,45760512,79.82,
1763115695.262311,2,1173,664,45432832,79.82,
1763115695.261719,4,1162,658,45793280,79.82,
1763115695.263020,1,1163,652,45924352,79.82,
1763115695.260972,3,1161,657,45957120,79.82,
1763115695.263121,5,1165,660,45645824,79.82,
1763115695.511461,3,1290,786,45957120,79.82,
1763115695.512411,0,1300,794,45793280,79.82,
1763115695.512433,5,1295,790,45645824,79.82,
1763115695.512463,2,1296,787,45449216,79.82,
1763115695.511172,4,1292,788,45793280,79.82,
1763115695.513076,1,1292,781,45924352,79.82,
1763115695.761636,4,1412,908,45793280,79.82,
1763115695.762365,3,1409,905,45957120,79.82,
1763115695.761194,5,1414,909,45645824,79.82,
1763115695.761133,0,1422,916,45809664,79.82,
1763115695.762334,2,1416,907,45449216,79.82,
1763115695.762268,1,1410,899,45924352,79.82,
1763115696.011582,4,1536,1032,45793280,79.82,
1763115696.011957,0,1544,1038,45809664,79.82,
1763115696.012508,3,1529,1025,45957120,79.82,
1763115696.011263,5,1537,1032,45645824,79.82,
1763115696.013149,2,1539,1030,45449216,79.82,
1763115696.012272,1,1527,1016,45924352,79.82,
1763115696.262128,2,1663,1154,45449216,79.82,
