timestamp,worker_id,ops_total,analysis_ops,rss_bytes,system_cpu_percent
1763267966.849179,0,6348,0,47988736,41.32
1763267966.849218,1,6323,0,47988736,41.32
1763267967.099188,0,12823,0,47988736,41.32
1763267967.099216,1,12774,0,47988736,41.32
1763267967.349228,0,19053,0,47988736,41.32
1763267967.349263,1,18979,0,47988736,41.32
1763267967.599147,0,25250,1,47988736,41.32
1763267967.599174,1,25156,1,47988736,41.32
1763267967.849143,0,31282,6033,47988736,41.32
1763267967.849169,1,31167,6012,47988736,41.32
1763267968.099162,0,37519,12270,47988736,41.32
1763267968.099191,1,37371,12216,47988736,41.32
1763267968.349147,0,43482,18233,47988736,41.32
1763267968.349182,1,43274,18119,47988736,41.32
1763267968.599150,0,49228,23979,47988736,41.32
1763267968.599180,1,49001,23846,47988736,41.32
1763267968.849146,0,54887,29638,47988736,41.32
1763267968.849179,1,54638,29483,47988736,41.32
1763267969.099153,1,60207,35052,47988736,41.32
1763267969.099181,0,60481,35232,47988736,41.32
1763267969.349152,0,66001,40752,47988736,41.32
1763267969.349183,1,65707,40552,47988736,41.32
1763267969.599154,0,71469,46220,47988736,41.32
1763267969.599182,1,71150,45995,47988736,41.32
1763267969.849171,0,77084,51835,47988736,41.32
1763267969.849200,1,76742,51587,47988736,41.32
1763267970.099130,0,82665,57416,47988736,41.32
1763267970.099161,1,82298,57143,47988736,41.32
1763267970.349153,1,87893,62738,47988736,41.32
1763267970.349178,0,88286,63037,47988736,41.32
1763267970.599139,0,93964,68715,47988736,41.32
1763267970.599166,1,93554,68399,47988736,41.32
1763267970.849140,0,99695,74446,47988736,41.32
1763267970.849173,1,99262,74107,47988736,41.32
1763267971.099217,0,105253,80004,47988736,41.32
1763267971.099253,1,104809,79654,47988736,41.32
1763267971.349169,0,110858,85609,47988736,41.32
1763267971.349203,1,110391,85236,47988736,41.32
1763267971.599121,0,116581,91332,47988736,41.32
1763267971.599156,1,116094,90939,47988736,41.32
1763267971.849143,0,122326,97077,47988736,41.32
1763267971.849172,1,121814,96659,47988736,41.32
1763267972.099135,0,128081,102832,47988736,41.32
1763267972.099161,1,127547,102392,47988736,41.32
1763267972.349142,0,133789,108540,47988736,41.32
1763267972.349172,1,133233,108078,47988736,41.32
1763267972.599138,0,139556,114307,47988736,41.32
1763267972.599169,1,138984,113829,47988736,41.32
1763267972.849168,0,145359,120110,47988736,41.32
1763267972.849199,1,144765,119610,47988736,41.32
1763267973.099161,0,151102,125853,47988736,41.32
1763267973.099194,1,150482,125327,47988736,41.32
1763267973.349182,0,156222,130973,47988736,41.32
1763267973.349231,1,155587,130432,47988736,41.32
1763267973.599139,1,160952,135797,47988736,41.32
1763267973.599173,0,161606,136357,47988736,41.32
1763267973.849122,0,167309,142060,47988736,41.32
1763267973.849155,1,166644,141489,47988736,41.32
1763267974.099157,0,173053,147804,47988736,41.32
1763267974.099187,1,172372,147217,47988736,41.32
1763267974.349131,1,178102,152947,47988736,41.32
1763267974.349162,0,178808,153559,47988736,41.32
1763267974.599130,1,183863,158708,47988736,41.32
1763267974.599158,0,184572,159323,47988736,41.32
1763267974.849130,0,190327,165078,47988736,41.32
1763267974.849159,1,189594,164439,47988736,41.32
1763267975.099107,0,196075,170826,47988736,41.32
1763267975.099138,1,195321,170166,47988736,41.32
1763267975.349125,0,201885,176636,47988736,41.32
1763267975.349153,1,201119,175964,47988736,41.32
1763267975.599123,0,207760,182511,47988736,41.32
1763267975.599143,1,206973,181818,47988736,41.32
1763267975.849142,0,213571,188322,47988736,41.32
1763267975.849169,1,212769,187614,47988736,41.32
1763267976.099138,0,219271,194022,47988736,41.32
1763267976.099180,1,218445,193290,47988736,41.32
1763267976.349209,0,224152,198903,47988736,41.32
1763267976.349261,1,223237,198082,47988736,41.32
1763267976.599155,0,229413,204164,47988736,41.32
1763267976.599196,1,228487,203332,47988736,41.32
1763267976.849131,0,234908,209659,47988736,41.32
1763267976.849168,1,233982,208827,47988736,41.32
1763267977.099168,1,239636,214481,47988736,41.32
1763267977.099199,0,240565,215316,47988736,41.32
1763267977.349125,1,245301,220146,47988736,41.32
1763267977.349155,0,246234,220985,47988736,41.32
1763267977.599114,1,250998,225842,47988736,41.32
1763267977.599144,0,251933,226683,47988736,41.32
1763267977.849124,1,256829,225842,47988736,41.32
1763267977.849157,0,257761,226683,47988736,41.32
1763267978.099134,0,263530,226683,47988736,41.32
1763267978.099164,1,262598,225842,47988736,41.32
1763267978.349108,0,269325,226683,47988736,41.32
1763267978.349138,1,268390,225842,47988736,41.32
1763267978.599116,0,275104,226683,47988736,41.32
1763267978.599175,1,274169,225842,47988736,41.32
