timestamp,worker_id,ops_total,analysis_ops,rss_bytes,system_cpu_percent,cpu_temperature_c
1763116077.235148,3,140,0,45105152,50.65,
1763116077.235767,1,141,0,45154304,50.65,
1763116077.235904,2,132,0,45006848,50.65,
1763116077.236138,0,138,0,45236224,50.65,
1763116077.485807,2,269,0,45039616,50.65,
1763116077.486249,0,281,0,45268992,50.65,
1763116077.486143,1,282,0,45187072,50.65,
1763116077.486179,3,281,0,45137920,50.65,
1763116077.735194,3,413,0,45137920,50.65,
1763116077.735433,2,406,0,45039616,50.65,
1763116077.735185,1,418,0,45187072,50.65,
1763116077.735510,0,410,0,45268992,50.65,
1763116077.985047,2,533,1,45039616,50.65,
1763116077.986292,1,550,1,45187072,50.65,
1763116077.985399,0,544,1,45268992,50.65,
1763116077.985110,3,547,1,45137920,50.65,
1763116078.235013,3,691,145,45154304,50.65,
1763116078.236034,2,675,143,45056000,50.65,
1763116078.236397,0,687,144,45285376,50.65,
1763116078.236459,1,693,144,45203456,50.65,
1763116078.486000,3,838,292,45154304,50.65,
1763116078.485755,2,821,289,45056000,50.65,
1763116078.485988,0,833,290,45285376,50.65,
1763116078.486042,1,839,290,45203456,50.65,
1763116078.734931,3,985,439,45170688,50.65,
1763116078.735123,2,968,436,45056000,50.65,
1763116078.735277,0,980,437,45301760,50.65,
1763116078.735665,1,985,436,45252608,50.65,
1763116078.985713,0,1125,582,45318144,50.65,
1763116078.985773,3,1132,586,45170688,50.65,
1763116078.985941,1,1130,581,45252608,50.65,
1763116078.985752,2,1115,583,45056000,50.65,
1763116079.234973,3,1278,732,45187072,50.65,
1763116079.235196,2,1261,729,45072384,50.65,
1763116079.236513,0,1271,728,45334528,50.65,
1763116079.234979,1,1275,726,45268992,50.65,
1763116079.485400,1,1408,859,45268992,50.65,
1763116079.485465,2,1396,864,45072384,50.65,
1763116079.485962,0,1409,866,45350912,50.65,
1763116079.486616,3,1413,867,45236224,50.65,
1763116079.735407,1,1550,1001,45268992,50.65,
1763116079.735862,2,1534,1002,45072384,50.65,
1763116079.736192,3,1553,1007,45236224,50.65,
1763116079.736357,0,1549,1006,45383680,50.65,
1763116079.984880,0,1694,1151,45383680,50.65,
1763116079.985015,3,1698,1152,45236224,50.65,
1763116079.986649,2,1680,1148,45072384,50.65,
1763116079.986855,1,1696,1147,45268992,50.65,
1763116080.236075,2,1826,1294,45072384,50.65,
1763116080.236397,3,1845,1299,45236224,50.65,
1763116080.234964,1,1841,1292,45268992,50.65,
1763116080.236412,0,1841,1298,45383680,50.65,
1763116080.485310,3,1991,1445,45236224,50.65,
1763116080.485330,0,1987,1444,45383680,50.65,
1763116080.485083,2,1972,1440,45072384,50.65,
1763116080.485977,1,1988,1439,45268992,50.65,
1763116080.735680,1,2134,1585,45268992,50.65,
1763116080.736147,2,2119,1587,45072384,50.65,
1763116080.735089,3,2136,1590,45236224,50.65,
