timestamp,worker_id,ops_total,analysis_ops,rss_bytes,system_cpu_percent,cpu_temperature_c
1763116130.470910,0,233,0,45072384,31.79,
1763116130.720540,0,466,0,45105152,31.79,
1763116130.970629,0,705,0,45105152,31.79,
1763116131.220784,0,941,1,45105152,31.79,
1763116131.470410,0,1172,232,45121536,31.79,
1763116131.720770,0,1400,460,45121536,31.79,
1763116131.970688,0,1626,686,45137920,31.79,
1763116132.220994,0,1839,899,45137920,31.79,
1763116132.470501,0,2078,1138,45137920,31.79,
1763116132.721036,0,2318,1378,45137920,31.79,
1763116132.970471,0,2557,1617,45137920,31.79,
1763116133.220987,0,2797,1857,45137920,31.79,
1763116133.471019,0,3033,2093,45137920,31.79,
1763116133.720352,0,3268,2328,45137920,31.79,
1763116133.970081,0,3507,2567,45137920,31.79,
1763116134.220646,0,3747,2807,45137920,31.79,
1763116134.470189,0,3986,3046,45154304,31.79,
1763116134.720913,0,4226,3286,45154304,31.79,
1763116134.970544,0,4465,3525,45154304,31.79,
1763116135.221114,0,4701,3761,45154304,31.79,
1763116135.470921,0,4933,3993,45154304,31.79,
1763116135.720673,0,5172,4232,45154304,31.79,
1763116135.970251,0,5411,4471,45154304,31.79,
1763116136.220794,0,5645,4705,45154304,31.79,
1763116136.470292,0,5884,4944,45154304,31.79,
1763116136.720905,0,6124,5184,45154304,31.79,
1763116136.970852,0,6361,5421,45154304,31.79,
1763116137.220287,0,6594,5654,45154304,31.79,
1763116137.470723,0,6834,5894,45154304,31.79,
1763116137.720107,0,7073,6133,45154304,31.79,
1763116137.970502,0,7313,6373,45154304,31.79,
1763116138.220794,0,7553,6613,45154304,31.79,
1763116138.470169,0,7792,6852,45154304,31.79,
1763116138.720615,0,8032,7092,45154304,31.79,
1763116138.970686,0,8271,7331,45154304,31.79,
1763116139.220978,0,8511,7571,45154304,31.79,
1763116139.470450,0,8750,7810,45154304,31.79,
1763116139.720359,0,8989,8049,45154304,31.79,
1763116139.970822,0,9229,8289,45154304,31.79,
1763116140.220340,0,9468,8528,45154304,31.79,
1763116140.470580,0,9708,8768,45154304,31.79,
1763116140.720106,0,9947,9007,45154304,31.79,
1763116140.970562,0,10187,9247,45154304,31.79,
1763116141.220914,0,10427,9486,45154304,31.79,
1763116141.470271,0,10664,9486,45154304,31.79,
1763116141.720996,0,10904,9486,45154304,31.79,
1763116141.970409,0,11143,9486,45154304,31.79,
1763116142.220936,0,11383,9486,45154304,31.79,
