timestamp,worker_id,ops_total,analysis_ops,rss_bytes,system_cpu_percent
1763268097.839829,3,935,0,48300032,94.93
1763268097.839939,0,916,0,48300032,94.93
1763268097.839997,8,923,0,48300032,94.93
1763268097.840050,2,927,0,48300032,94.93
1763268097.840085,6,917,0,48300032,94.93
1763268097.840143,1,907,0,48300032,94.93
1763268097.840213,9,920,0,48300032,94.93
1763268097.840288,5,905,0,48300032,94.93
1763268097.840418,7,934,0,48300032,94.93
1763268097.840813,4,927,0,48300032,94.93
1763268098.089951,9,1846,0,48300032,94.93
1763268098.090000,3,1837,0,48300032,94.93
1763268098.090058,4,1833,0,48300032,94.93
1763268098.090103,7,1880,0,48300032,94.93
1763268098.090256,1,1829,0,48300032,94.93
1763268098.090307,0,1757,0,48300032,94.93
1763268098.090347,2,1800,0,48300032,94.93
1763268098.090460,6,1793,0,48300032,94.93
1763268098.090585,5,1778,0,48300032,94.93
1763268098.090737,8,1866,0,48300032,94.93
1763268098.339881,0,2523,0,48300032,94.93
1763268098.339979,6,2607,0,48300032,94.93
1763268098.340064,3,2623,0,48300032,94.93
1763268098.340115,8,2637,0,48300032,94.93
1763268098.340169,2,2651,0,48300032,94.93
1763268098.340208,9,2570,0,48300032,94.93
1763268098.340279,5,2658,0,48300032,94.93
1763268098.340355,1,2706,0,48300032,94.93
1763268098.340466,7,2712,0,48300032,94.93
1763268098.340700,4,2612,0,48300032,94.93
1763268098.589924,1,3684,1,48300032,94.93
1763268098.589983,0,3384,1,48300032,94.93
1763268098.590048,2,3639,1,48300032,94.93
1763268098.590168,9,3541,1,48300032,94.93
1763268098.590219,8,3556,1,48300032,94.93
1763268098.590361,6,3518,1,48300032,94.93
1763268098.590472,3,3539,1,48300032,94.93
1763268098.590515,7,3674,1,48300032,94.93
1763268098.590588,4,3570,1,48300032,94.93
1763268098.591115,5,3639,1,48300032,94.93
1763268098.839953,3,4447,909,48300032,94.93
1763268098.840004,4,4491,922,48300032,94.93
1763268098.840081,7,4571,898,48300032,94.93
1763268098.840221,5,4562,924,48300032,94.93
1763268098.840266,1,4625,942,48300032,94.93
1763268098.840309,8,4458,903,48300032,94.93
1763268098.840376,0,4292,909,48300032,94.93
1763268098.840498,6,4423,906,48300032,94.93
1763268098.840556,9,4436,896,48300032,94.93
1763268098.840939,2,4542,904,48300032,94.93
1763268099.089838,9,5378,1838,48300032,94.93
1763268099.090001,8,5385,1830,48300032,94.93
1763268099.090073,1,5534,1851,48300032,94.93
1763268099.090129,7,5514,1841,48300032,94.93
1763268099.090173,6,5346,1829,48300032,94.93
1763268099.090266,4,5359,1790,48300032,94.93
1763268099.090332,0,5228,1845,48300032,94.93
1763268099.090458,2,5491,1853,48300032,94.93
1763268099.090684,3,5343,1805,48300032,94.93
1763268099.090821,5,5536,1898,48300032,94.93
1763268099.339860,0,6123,2740,48300032,94.93
1763268099.339972,5,6405,2767,48300032,94.93
1763268099.340025,7,6474,2801,48300032,94.93
1763268099.340117,2,6376,2738,48300032,94.93
1763268099.340186,9,6316,2776,48300032,94.93
1763268099.340232,8,6307,2752,48300032,94.93
1763268099.340384,1,6447,2764,48300032,94.93
1763268099.340458,4,6250,2681,48300032,94.93
1763268099.340529,6,6258,2741,48300032,94.93
1763268099.340642,3,6238,2700,48300032,94.93
1763268099.589911,5,7319,3681,48300032,94.93
1763268099.590059,2,7238,3600,48300032,94.93
1763268099.590101,3,7137,3599,48300032,94.93
1763268099.590165,6,7143,3626,48300032,94.93
1763268099.590217,0,6995,3612,48300032,94.93
1763268099.590287,4,7145,3576,48300032,94.93
1763268099.590356,7,7352,3679,48300032,94.93
1763268099.590428,9,7180,3640,48300032,94.93
1763268099.590465,8,7193,3638,48300032,94.93
1763268099.590777,1,7337,3654,48300032,94.93
1763268099.839763,0,7843,4460,48300032,94.93
1763268099.839954,1,8215,4532,48300032,94.93
1763268099.840003,9,8075,4535,48300032,94.93
1763268099.840068,6,8006,4489,48300032,94.93
1763268099.840106,7,8198,4525,48300032,94.93
1763268099.840195,5,8172,4534,48300032,94.93
1763268099.840228,8,8075,4520,48300032,94.93
1763268099.840320,4,7983,4414,48300032,94.93
1763268099.840451,2,8093,4455,48300032,94.93
1763268099.840519,3,8002,4464,48300032,94.93
1763268100.089839,0,8665,5282,48300032,94.93
1763268100.089927,2,8910,5272,48300032,94.93
1763268100.089990,5,8991,5353,48300032,94.93
1763268100.090024,7,9055,5382,48300032,94.93
1763268100.090101,1,9048,5365,48300032,94.93
1763268100.090132,3,8871,5333,48300032,94.93
1763268100.090159,4,8853,5284,48300032,94.93
1763268100.090252,8,8942,5387,48300032,94.93
1763268100.090415,6,8844,5327,48300032,94.93
1763268100.090577,9,8930,5390,48300032,94.93
1763268100.339922,3,9724,6186,48300032,94.93
1763268100.340007,9,9788,6248,48300032,94.93
1763268100.340055,4,9709,6140,48300032,94.93
1763268100.340156,8,9776,6221,48300032,94.93
1763268100.340190,0,9526,6143,48300032,94.93
1763268100.340228,6,9713,6196,48300032,94.93
1763268100.340264,2,9767,6129,48300032,94.93
1763268100.340478,1,9918,6235,48300032,94.93
1763268100.340646,7,9943,6270,48300032,94.93
1763268100.340762,5,9835,6197,48300032,94.93
1763268100.589860,0,10412,7029,48300032,94.93
1763268100.589904,7,10862,7189,48300032,94.93
1763268100.589985,6,10594,7077,48300032,94.93
1763268100.590030,1,10770,7087,48300032,94.93
1763268100.590085,4,10592,7023,48300032,94.93
1763268100.590156,5,10695,7057,48300032,94.93
1763268100.590227,9,10656,7116,48300032,94.93
1763268100.590270,8,10668,7113,48300032,94.93
1763268100.590355,3,10622,7084,48300032,94.93
1763268100.590764,2,10617,6979,48300032,94.93
1763268100.839955,1,11618,7935,48300032,94.93
1763268100.839998,3,11438,7900,48300032,94.93
1763268100.840029,7,11696,8023,48300032,94.93
1763268100.840105,2,11464,7826,48300032,94.93
1763268100.840144,9,11531,7991,48300032,94.93
1763268100.840180,6,11449,7932,48300032,94.93
1763268100.840231,8,11520,7965,48300032,94.93
1763268100.840312,0,11274,7891,48300032,94.93
1763268100.840439,4,11422,7853,48300032,94.93
1763268100.840522,5,11546,7908,48300032,94.93
1763268101.089845,9,12389,8849,48300032,94.93
1763268101.089890,1,12498,8815,48300032,94.93
1763268101.089955,2,12353,8715,48300032,94.93
1763268101.090102,6,12276,8759,48300032,94.93
1763268101.090131,8,12393,8838,48300032,94.93
1763268101.090166,5,12421,8783,48300032,94.93
1763268101.090302,0,12147,8764,48300032,94.93
1763268101.090326,7,12608,8935,48300032,94.93
1763268101.090391,3,12301,8763,48300032,94.93
1763268101.090438,4,12296,8727,48300032,94.93
1763268101.339903,1,13348,9665,48300032,94.93
1763268101.339978,2,13207,9569,48300032,94.93
1763268101.340023,6,13138,9621,48300032,94.93
1763268101.340120,3,13184,9646,48300032,94.93
1763268101.340194,0,12996,9613,48300032,94.93
1763268101.340222,9,13248,9708,48300032,94.93
1763268101.340328,5,13260,9622,48300032,94.93
1763268101.340355,8,13250,9695,48300032,94.93
1763268101.340388,4,13198,9629,48300032,94.93
1763268101.340618,7,13488,9815,48300032,94.93
1763268101.589786,0,13859,10476,48300032,94.93
1763268101.589862,9,14177,10637,48300032,94.93
1763268101.589925,2,14093,10455,48300032,94.93
1763268101.589959,5,14138,10500,48300032,94.93
1763268101.590006,4,14079,10510,48300032,94.93
1763268101.590048,3,14058,10520,48300032,94.93
1763268101.590166,7,14363,10690,48300032,94.93
1763268101.590289,6,14000,10483,48300032,94.93
1763268101.590367,8,14123,10568,48300032,94.93
1763268101.590461,1,14197,10514,48300032,94.93
1763268101.839765,0,14737,11354,48300032,94.93
1763268101.839866,1,15052,11369,48300032,94.93
1763268101.840033,6,14856,11339,48300032,94.93
1763268101.840163,9,15050,11510,48300032,94.93
1763268101.840236,5,14999,11361,48300032,94.93
1763268101.840278,8,14986,11431,48300032,94.93
1763268101.840368,4,14927,11358,48300032,94.93
1763268101.840491,7,15233,11560,48300032,94.93
1763268101.840551,3,14934,11396,48300032,94.93
1763268101.840770,2,14978,11340,48300032,94.93
1763268102.089867,0,15602,12219,48300032,94.93
1763268102.089921,3,15832,12294,48300032,94.93
1763268102.089983,8,15856,12301,48300032,94.93
1763268102.090102,2,15890,12252,48300032,94.93
1763268102.090144,9,15958,12418,48300032,94.93
1763268102.090218,5,15864,12226,48300032,94.93
1763268102.090272,6,15778,12261,48300032,94.93
1763268102.090469,1,15947,12264,48300032,94.93
1763268102.090565,4,15795,12226,48300032,94.93
1763268102.090600,7,16124,12451,48300032,94.93
1763268102.339842,3,16761,13223,48300032,94.93
1763268102.339882,1,16858,13175,48300032,94.93
1763268102.339952,0,16542,13159,48300032,94.93
1763268102.340032,8,16773,13218,48300032,94.93
1763268102.340086,9,16862,13322,48300032,94.93
1763268102.340127,5,16801,13163,48300032,94.93
1763268102.340157,6,16714,13197,48300032,94.93
1763268102.340193,4,16696,13127,48300032,94.93
1763268102.340285,2,16792,13154,48300032,94.93
1763268102.340627,7,17008,13335,48300032,94.93
1763268102.589851,3,17682,14144,48300032,94.93
1763268102.589915,8,17688,14133,48300032,94.93
1763268102.590073,6,17627,14110,48300032,94.93
1763268102.590113,2,17704,14066,48300032,94.93
1763268102.590156,5,17689,14051,48300032,94.93
1763268102.590280,9,17757,14217,48300032,94.93
1763268102.590357,4,17598,14029,48300032,94.93
1763268102.590656,1,17765,14082,48300032,94.93
1763268102.590833,0,17451,14068,48300032,94.93
1763268102.590993,7,17904,14231,48300032,94.93
1763268102.839845,0,18311,14928,48300032,94.93
1763268102.840027,3,18534,14996,48300032,94.93
1763268102.840071,6,18565,15048,48300032,94.93
1763268102.840115,9,18645,15105,48300032,94.93
1763268102.840156,1,18624,14941,48300032,94.93
1763268102.840199,7,18779,15106,48300032,94.93
1763268102.840274,2,18585,14947,48300032,94.93
1763268102.840322,4,18470,14901,48300032,94.93
1763268102.840412,5,18569,14931,48300032,94.93
1763268102.840502,8,18582,15027,48300032,94.93
1763268103.089946,1,19513,15830,48300032,94.93
1763268103.089996,7,19703,16030,48300032,94.93
1763268103.090044,3,19483,15945,48300032,94.93
1763268103.090205,2,19510,15872,48300032,94.93
1763268103.090241,0,19243,15860,48300032,94.93
1763268103.090273,9,19533,15993,48300032,94.93
1763268103.090320,6,19461,15944,48300032,94.93
1763268103.090360,5,19470,15832,48300032,94.93
1763268103.090559,8,19491,15936,48300032,94.93
1763268103.090715,4,19415,15846,48300032,94.93
1763268103.339933,5,20338,16700,48300032,94.93
1763268103.340065,1,20360,16677,48300032,94.93
1763268103.340139,7,20634,16961,48300032,94.93
1763268103.340236,8,20348,16793,48300032,94.93
1763268103.340276,9,20395,16855,48300032,94.93
1763268103.340342,6,20296,16779,48300032,94.93
1763268103.340389,0,20116,16733,48300032,94.93
1763268103.340477,3,20320,16782,48300032,94.93
1763268103.340553,2,20403,16765,48300032,94.93
1763268103.340994,4,20251,16682,48300032,94.93
1763268103.589847,0,21088,17705,48300032,94.93
1763268103.589939,1,21226,17543,48300032,94.93
1763268103.590001,2,21337,17699,48300032,94.93
1763268103.590159,4,21133,17564,48300032,94.93
1763268103.590197,8,21198,17643,48300032,94.93
1763268103.590240,5,21229,17591,48300032,94.93
1763268103.590310,3,21174,17636,48300032,94.93
1763268103.590424,9,21219,17679,48300032,94.93
1763268103.590552,7,21527,17854,48300032,94.93
1763268103.590693,6,21241,17724,48300032,94.93
1763268103.839756,1,22128,18445,48300032,94.93
1763268103.839804,0,22003,18620,48300032,94.93
1763268103.840015,8,22090,18535,48300032,94.93
1763268103.840055,9,22087,18547,48300032,94.93
1763268103.840106,3,22088,18550,48300032,94.93
1763268103.840155,2,22283,18645,48300032,94.93
1763268103.840221,6,22163,18646,48300032,94.93
1763268103.840342,5,22151,18513,48300032,94.93
1763268103.840380,4,22062,18493,48300032,94.93
1763268103.840740,7,22440,18767,48300032,94.93
1763268104.089804,1,22983,19300,48300032,94.93
1763268104.089907,0,22896,19513,48300032,94.93
1763268104.090057,5,23026,19388,48300032,94.93
1763268104.090105,7,23330,19657,48300032,94.93
1763268104.090141,3,22985,19447,48300032,94.93
1763268104.090176,2,23124,19486,48300032,94.93
1763268104.090303,9,22963,19423,48300032,94.93
1763268104.090364,6,23072,19555,48300032,94.93
1763268104.090438,8,22975,19420,48300032,94.93
1763268104.090473,4,22969,19400,48300032,94.93
1763268104.339923,0,23774,20391,48300032,94.93
1763268104.339995,4,23802,20233,48300032,94.93
1763268104.340047,9,23854,20314,48300032,94.93
1763268104.340085,8,23855,20300,48300032,94.93
1763268104.340145,1,23857,20174,48300032,94.93
1763268104.340199,6,23992,20475,48300032,94.93
1763268104.340249,2,24044,20406,48300032,94.93
1763268104.340294,5,23907,20269,48300032,94.93
1763268104.340426,3,23858,20320,48300032,94.93
1763268104.340659,7,24198,20525,48300032,94.93
1763268104.589927,1,24737,21054,48300032,94.93
1763268104.589997,3,24731,21193,48300032,94.93
1763268104.590043,2,24937,21299,48300032,94.93
1763268104.590085,6,24854,21337,48300032,94.93
1763268104.590136,0,24638,21255,48300032,94.93
1763268104.590212,8,24730,21175,48300032,94.93
1763268104.590282,9,24741,21201,48300032,94.93
1763268104.590323,4,24640,21071,48300032,94.93
1763268104.590359,5,24756,21118,48300032,94.93
1763268104.590563,7,25059,21386,48300032,94.93
1763268104.839774,0,25536,22153,48300032,94.93
1763268104.839853,8,25581,22026,48300032,94.93
1763268104.839904,9,25597,22057,48300032,94.93
1763268104.839995,7,25902,22229,48300032,94.93
1763268104.840065,3,25616,22078,48300032,94.93
1763268104.840184,2,25803,22165,48300032,94.93
1763268104.840223,5,25632,21994,48300032,94.93
1763268104.840342,4,25500,21931,48300032,94.93
1763268104.840508,6,25758,22241,48300032,94.93
1763268104.840600,1,25609,21926,48300032,94.93
1763268105.089925,5,26524,22886,48300032,94.93
1763268105.089961,8,26490,22935,48300032,94.93
1763268105.089996,0,26437,23054,48300032,94.93
1763268105.090052,9,26534,22994,48300032,94.93
1763268105.090128,2,26725,23087,48300032,94.93
1763268105.090246,4,26426,22857,48300032,94.93
1763268105.090282,7,26816,23143,48300032,94.93
1763268105.090482,6,26662,23145,48300032,94.93
1763268105.090511,3,26528,22990,48300032,94.93
1763268105.090759,1,26523,22840,48300032,94.93
1763268105.339985,5,27376,23738,48300032,94.93
1763268105.340057,9,27380,23840,48300032,94.93
1763268105.340126,4,27292,23723,48300032,94.93
1763268105.340167,2,27553,23915,48300032,94.93
1763268105.340207,7,27673,24000,48300032,94.93
1763268105.340301,8,27317,23762,48300032,94.93
1763268105.340335,6,27510,23993,48300032,94.93
1763268105.340363,3,27354,23816,48300032,94.93
1763268105.340388,0,27279,23896,48300032,94.93
1763268105.340636,1,27389,23706,48300032,94.93
1763268105.589971,3,28215,24677,48300032,94.93
