timestamp,worker_id,ops_total,analysis_ops,rss_bytes,system_cpu_percent,cpu_temperature_c
1763115168.236356,1,3,0,45301760,35.78,
1763115168.236901,0,3,0,45268992,35.78,
1763115168.468463,0,5,0,45301760,35.78,
1763115168.468522,1,5,0,45334528,35.78,
1763115168.695019,0,7,0,45301760,35.78,
1763115168.695557,1,7,0,45334528,35.78,
1763115168.921478,0,9,1,45301760,35.78,
1763115168.922352,1,9,1,45334528,35.78,
1763115169.154532,0,11,3,45301760,35.78,
1763115169.155550,1,11,3,45334528,35.78,
1763115169.491528,0,14,6,45301760,35.78,
1763115169.492252,1,14,6,45334528,35.78,
1763115169.716338,0,16,8,45301760,35.78,
1763115169.717663,1,16,8,45334528,35.78,
1763115169.938787,0,18,10,45301760,35.78,
1763115169.940206,1,18,10,45334528,35.78,
1763115170.171758,0,20,12,45301760,35.78,
1763115170.172493,1,20,12,45334528,35.78,
1763115170.395755,0,22,14,45301760,35.78,
1763115170.396747,1,22,14,45334528,35.78,
1763115170.741193,0,25,17,45301760,35.78,
1763115170.742839,1,25,17,45334528,35.78,
1763115170.963233,0,27,19,45301760,35.78,
1763115170.964511,1,27,19,45334528,35.78,
1763115171.185136,0,29,21,45301760,35.78,
1763115171.186887,1,29,21,45334528,35.78,
1763115171.411479,0,31,23,45301760,35.78,
1763115171.412804,1,31,23,45334528,35.78,
1763115171.672634,0,33,25,45301760,35.78,
1763115171.674748,1,33,25,45334528,35.78,
1763115171.903540,0,35,27,45301760,35.78,
1763115171.905806,1,35,27,45334528,35.78,
1763115172.231832,0,38,30,45301760,35.78,
1763115172.236651,1,38,30,45334528,35.78,
1763115172.467002,0,40,32,45301760,35.78,
1763115172.471460,1,40,32,45334528,35.78,
1763115172.702620,0,42,34,45301760,35.78,
1763115172.708031,1,42,34,45334528,35.78,
1763115172.944647,0,44,36,45301760,35.78,
1763115172.949731,1,44,36,45334528,35.78,
1763115173.172842,0,46,38,45301760,35.78,
1763115173.177113,1,46,38,45334528,35.78,
1763115173.407253,0,48,40,45301760,35.78,
1763115173.411387,1,48,40,45334528,35.78,
1763115173.641951,0,50,42,45301760,35.78,
1763115173.645820,1,50,42,45334528,35.78,
1763115173.995488,0,53,45,45301760,35.78,
1763115173.999682,1,53,45,45334528,35.78,
1763115174.230592,0,55,47,45301760,35.78,
1763115174.234033,1,55,47,45334528,35.78,
1763115174.487976,0,57,49,45301760,35.78,
1763115174.496883,1,57,49,45350912,35.78,
1763115174.722330,0,59,51,45301760,35.78,
1763115174.730585,1,59,51,45350912,35.78,
1763115174.954375,0,61,53,45301760,35.78,
1763115174.962856,1,61,53,45350912,35.78,
1763115175.186728,0,63,55,45301760,35.78,
1763115175.195427,1,63,55,45350912,35.78,
1763115175.460474,0,65,57,45301760,35.78,
1763115175.468268,1,65,57,45350912,35.78,
1763115175.689775,0,67,59,45301760,35.78,
1763115175.697789,1,67,59,45350912,35.78,
1763115175.923883,0,69,61,45301760,35.78,
1763115175.932350,1,69,61,45350912,35.78,
1763115176.167371,0,71,63,45301760,35.78,
1763115176.175266,1,71,63,45350912,35.78,
1763115176.394164,0,73,65,45301760,35.78,
1763115176.401837,1,73,65,45350912,35.78,
1763115176.737902,0,76,68,45301760,35.78,
1763115176.746400,1,76,68,45350912,35.78,
1763115176.972074,0,78,70,45301760,35.78,
1763115176.980873,1,78,70,45350912,35.78,
1763115177.205994,0,80,72,45301760,35.78,
1763115177.215017,1,80,72,45350912,35.78,
1763115177.436080,0,82,74,45301760,35.78,
1763115177.444867,1,82,74,45350912,35.78,
1763115177.668309,0,84,76,45301760,35.78,
1763115177.678165,1,84,76,45350912,35.78,
1763115177.904918,0,86,78,45301760,35.78,
1763115177.914284,1,86,78,45350912,35.78,
1763115178.141134,0,88,80,45301760,35.78,
1763115178.150728,1,88,80,45350912,35.78,
1763115178.387810,1,90,82,45350912,35.78,
1763115178.497773,0,91,83,45301760,35.78,
1763115178.730855,0,93,85,45301760,35.78,
1763115178.740057,1,93,85,45350912,35.78,
1763115178.961497,0,95,86,45301760,35.78,
1763115178.970050,1,95,86,45350912,35.78,
1763115179.229910,0,97,86,45301760,35.78,
1763115179.238395,1,97,86,45350912,35.78,
1763115179.458365,0,99,86,45301760,35.78,
1763115179.466989,1,99,86,45350912,35.78,
1763115179.692025,0,101,86,45301760,35.78,
1763115179.702076,1,101,86,45350912,35.78,
1763115179.934212,0,103,86,45301760,35.78,
1763115179.943982,1,103,86,45350912,35.78,
