timestamp,worker_id,ops_total,analysis_ops,rss_bytes,system_cpu_percent
1763267275.444294,3,451,0,45219840,57.77
1763267275.444471,0,453,0,45219840,57.77
1763267275.444740,2,451,0,45219840,57.77
1763267275.444819,1,452,0,45219840,57.77
1763267275.694410,0,901,0,45219840,57.77
1763267275.694703,1,904,0,45219840,57.77
1763267275.694737,2,904,0,45219840,57.77
1763267275.694776,3,903,0,45219840,57.77
1763267275.944413,1,1345,0,45219840,57.77
1763267275.944545,2,1346,0,45219840,57.77
1763267275.944725,3,1346,0,45219840,57.77
1763267275.944911,0,1347,0,45219840,57.77
1763267276.194596,3,1783,1,45219840,57.77
1763267276.194644,0,1786,1,45219840,57.77
1763267276.194850,2,1784,1,45219840,57.77
1763267276.194898,1,1786,1,45219840,57.77
1763267276.444277,2,2231,448,45219840,57.77
1763267276.444465,3,2227,445,45219840,57.77
1763267276.444703,0,2228,443,45219840,57.77
1763267276.444888,1,2233,448,45219840,57.77
1763267276.694514,2,2680,897,45219840,57.77
1763267276.694693,1,2681,896,45219840,57.77
1763267276.694726,0,2672,887,45219840,57.77
1763267276.694827,3,2673,891,45219840,57.77
1763267276.944340,2,3123,1340,45219840,57.77
1763267276.944386,0,3112,1327,45219840,57.77
1763267276.944648,3,3113,1331,45219840,57.77
1763267276.944729,1,3112,1327,45219840,57.77
1763267277.194368,3,3567,1785,45219840,57.77
1763267277.194448,1,3567,1782,45219840,57.77
1763267277.194495,2,3578,1795,45219840,57.77
1763267277.194594,0,3567,1782,45219840,57.77
1763267277.444290,2,4034,2251,45219840,57.77
1763267277.444427,3,4024,2242,45219840,57.77
1763267277.444556,0,4024,2239,45219840,57.77
1763267277.444693,1,4024,2239,45219840,57.77
1763267277.694238,3,4444,2662,45219840,57.77
1763267277.694660,2,4449,2666,45219840,57.77
1763267277.694719,0,4458,2673,45219840,57.77
1763267277.694885,1,4453,2668,45219840,57.77
1763267277.944180,2,4899,3116,45219840,57.77
1763267277.944512,3,4894,3112,45219840,57.77
1763267277.944601,1,4902,3117,45219840,57.77
1763267277.944760,0,4907,3122,45219840,57.77
1763267278.194238,3,5348,3566,45219840,57.77
1763267278.194271,2,5354,3571,45219840,57.77
1763267278.194408,1,5357,3572,45219840,57.77
1763267278.194796,0,5362,3577,45219840,57.77
1763267278.444307,0,5810,4025,45219840,57.77
1763267278.444345,2,5801,4018,45219840,57.77
1763267278.444513,1,5804,4019,45219840,57.77
1763267278.444788,3,5798,4016,45219840,57.77
1763267278.694411,0,6234,4449,45219840,57.77
1763267278.694520,2,6203,4420,45219840,57.77
1763267278.694634,3,6214,4432,45219840,57.77
1763267278.694700,1,6206,4421,45219840,57.77
1763267278.944262,0,6651,4866,45219840,57.77
1763267278.944453,1,6632,4847,45219840,57.77
1763267278.944494,3,6620,4838,45219840,57.77
1763267278.944533,2,6630,4847,45219840,57.77
1763267279.194288,0,7098,5313,45219840,57.77
1763267279.194338,3,7066,5284,45219840,57.77
1763267279.194428,2,7076,5293,45219840,57.77
1763267279.194573,1,7079,5294,45219840,57.77
1763267279.444272,0,7542,5757,45219840,57.77
1763267279.444338,2,7520,5737,45219840,57.77
1763267279.444740,3,7509,5727,45219840,57.77
1763267279.444825,1,7522,5737,45219840,57.77
1763267279.694228,3,7950,6168,45219840,57.77
1763267279.694435,2,7969,6186,45219840,57.77
1763267279.694471,0,7991,6206,45219840,57.77
1763267279.694536,1,7971,6186,45219840,57.77
1763267279.944426,1,8418,6633,45219840,57.77
1763267279.944497,0,8437,6652,45219840,57.77
1763267279.944545,2,8415,6632,45219840,57.77
1763267279.944582,3,8396,6614,45219840,57.77
1763267280.194384,0,8876,7091,45219840,57.77
1763267280.194428,1,8858,7073,45219840,57.77
1763267280.194502,2,8853,7070,45219840,57.77
1763267280.194622,3,8837,7055,45219840,57.77
1763267280.444414,0,9283,7498,45219840,57.77
1763267280.445468,1,9253,7468,45219840,57.77
1763267280.445682,3,9243,7461,45219840,57.77
1763267280.445796,2,9242,7459,45219840,57.77
1763267280.694273,0,9724,7939,45219840,57.77
1763267280.694308,3,9684,7902,45219840,57.77
1763267280.694397,2,9684,7901,45219840,57.77
1763267280.694458,1,9692,7907,45219840,57.77
