timestamp,worker_id,ops_total,analysis_ops,rss_bytes,system_cpu_percent
1763266906.978490,0,146,0,49397760,86.89
1763266906.978713,2,128,0,49397760,86.89
1763266906.978789,5,123,0,49397760,86.89
1763266906.978854,4,132,0,49397760,86.89
1763266906.978930,3,130,0,49397760,86.89
1763266906.978976,7,145,0,49397760,86.89
1763266906.979013,6,146,0,49397760,86.89
1763266906.980263,1,142,0,49397760,86.89
1763266907.228052,0,279,0,49397760,86.89
1763266907.228347,1,284,0,49397760,86.89
1763266907.228687,7,267,0,49397760,86.89
1763266907.228845,3,268,0,49397760,86.89
1763266907.229079,2,265,0,49397760,86.89
1763266907.230094,5,253,0,49397760,86.89
1763266907.230416,6,288,0,49397760,86.89
1763266907.230518,4,268,0,49397760,86.89
1763266907.477914,3,406,0,49397760,86.89
1763266907.478454,0,423,0,49397760,86.89
1763266907.478788,1,413,0,49397760,86.89
1763266907.478860,4,391,0,49397760,86.89
1763266907.479020,6,436,0,49397760,86.89
1763266907.479137,7,399,0,49397760,86.89
1763266907.479207,5,392,0,49397760,86.89
1763266907.479426,2,395,0,49397760,86.89
1763266907.727951,3,548,1,49397760,86.89
1763266907.728187,6,570,1,49397760,86.89
1763266907.728338,0,567,1,49397760,86.89
1763266907.728894,5,532,1,49397760,86.89
1763266907.729021,7,529,1,49397760,86.89
1763266907.729093,2,517,1,49397760,86.89
1763266907.729270,1,536,1,49397760,86.89
1763266907.729472,4,535,1,49397760,86.89
1763266907.978108,0,705,139,49397760,86.89
1763266907.978262,4,650,116,49397760,86.89
1763266907.978488,5,656,125,49397760,86.89
1763266907.978870,1,688,153,49397760,86.89
1763266907.980233,7,661,133,49397760,86.89
1763266907.980513,6,707,138,49397760,86.89
1763266907.980675,2,657,141,49397760,86.89
1763266907.980900,3,691,144,49397760,86.89
1763266908.228528,3,834,287,49414144,86.89
1763266908.228649,0,828,262,49414144,86.89
1763266908.228792,1,821,286,49414144,86.89
1763266908.228963,5,801,270,49414144,86.89
1763266908.229059,7,785,257,49414144,86.89
1763266908.229578,6,821,252,49414144,86.89
1763266908.229898,4,784,250,49414144,86.89
1763266908.229962,2,782,266,49414144,86.89
1763266908.478190,1,968,433,49430528,86.89
1763266908.478257,3,960,413,49430528,86.89
1763266908.478334,5,916,385,49430528,86.89
1763266908.478518,7,946,418,49430528,86.89
1763266908.478737,0,957,391,49430528,86.89
1763266908.479149,2,916,400,49430528,86.89
1763266908.479575,6,957,388,49430528,86.89
1763266908.480562,4,906,372,49430528,86.89
1763266908.728516,1,1090,555,49446912,86.89
1763266908.728610,5,1051,520,49446912,86.89
1763266908.728671,4,1048,514,49446912,86.89
1763266908.728729,0,1094,528,49446912,86.89
1763266908.729016,7,1092,564,49446912,86.89
1763266908.729081,2,1050,534,49446912,86.89
1763266908.729125,6,1087,518,49446912,86.89
1763266908.729341,3,1088,541,49446912,86.89
1763266908.979292,7,1217,689,49463296,86.89
1763266908.979445,6,1230,661,49463296,86.89
1763266908.979492,5,1179,648,49463296,86.89
1763266908.979585,4,1178,644,49463296,86.89
1763266908.979624,1,1228,693,49463296,86.89
1763266908.979819,0,1215,649,49463296,86.89
1763266908.979931,2,1177,661,49463296,86.89
1763266908.980007,3,1246,699,49463296,86.89
1763266909.228240,2,1313,797,49463296,86.89
1763266909.228357,4,1310,776,49463296,86.89
1763266909.228642,7,1362,834,49463296,86.89
1763266909.229061,5,1308,777,49463296,86.89
1763266909.229329,0,1314,748,49463296,86.89
1763266909.229425,6,1370,801,49463296,86.89
1763266909.230550,3,1376,829,49463296,86.89
1763266909.230821,1,1356,821,49463296,86.89
1763266909.478008,5,1450,919,49479680,86.89
1763266909.478170,1,1485,950,49479680,86.89
1763266909.478821,0,1429,863,49479680,86.89
1763266909.478954,3,1516,969,49479680,86.89
1763266909.479041,2,1441,925,49479680,86.89
1763266909.479243,7,1486,958,49479680,86.89
1763266909.479342,4,1441,907,49479680,86.89
1763266909.479595,6,1490,921,49479680,86.89
1763266909.728333,5,1591,1060,49545216,86.89
1763266909.728374,2,1569,1053,49545216,86.89
1763266909.728452,1,1621,1086,49545216,86.89
1763266909.729868,4,1574,1040,49545216,86.89
1763266909.729968,3,1640,1093,49545216,86.89
1763266909.730042,7,1626,1098,49545216,86.89
1763266909.730183,6,1619,1050,49545216,86.89
1763266909.730294,0,1555,989,49545216,86.89
1763266909.978035,5,1726,1195,49561600,86.89
1763266909.978218,7,1742,1214,49561600,86.89
1763266909.978343,1,1769,1234,49561600,86.89
1763266909.978402,0,1711,1145,49561600,86.89
1763266909.978522,2,1707,1191,49561600,86.89
1763266909.978591,3,1762,1215,49561600,86.89
1763266909.978684,6,1731,1162,49561600,86.89
1763266909.978743,4,1705,1171,49561600,86.89
1763266910.228134,3,1901,1354,49561600,86.89
1763266910.228189,4,1818,1284,49561600,86.89
1763266910.228252,5,1860,1329,49561600,86.89
1763266910.228836,0,1837,1271,49561600,86.89
1763266910.228909,2,1827,1311,49561600,86.89
1763266910.228987,7,1873,1345,49561600,86.89
1763266910.229605,1,1909,1374,49561600,86.89
1763266910.230139,6,1875,1306,49561600,86.89
1763266910.478075,4,1949,1415,49561600,86.89
1763266910.478217,1,2031,1496,49561600,86.89
1763266910.478639,7,2013,1485,49561600,86.89
1763266910.479041,6,2018,1449,49561600,86.89
1763266910.479157,0,1973,1407,49561600,86.89
1763266910.479625,3,2019,1472,49561600,86.89
1763266910.479805,5,1985,1454,49561600,86.89
1763266910.480706,2,1966,1450,49561600,86.89
1763266910.728298,1,2159,1624,49561600,86.89
1763266910.728403,7,2145,1617,49561600,86.89
1763266910.728487,2,2083,1567,49561600,86.89
1763266910.728551,3,2130,1583,49561600,86.89
1763266910.728636,5,2115,1584,49561600,86.89
1763266910.729333,0,2099,1533,49561600,86.89
1763266910.730508,6,2135,1566,49561600,86.89
1763266910.731307,4,2069,1535,49561600,86.89
1763266910.978083,2,2202,1686,49577984,86.89
1763266910.978372,1,2292,1757,49577984,86.89
1763266910.978446,6,2261,1692,49577984,86.89
1763266910.978502,3,2275,1728,49577984,86.89
1763266910.978587,4,2182,1648,49577984,86.89
1763266910.978733,0,2234,1668,49577984,86.89
1763266910.978823,5,2245,1714,49577984,86.89
1763266910.979069,7,2284,1756,49577984,86.89
1763266911.228175,3,2413,1866,49577984,86.89
1763266911.228281,0,2362,1796,49577984,86.89
1763266911.228717,2,2341,1825,49577984,86.89
1763266911.228821,7,2399,1871,49577984,86.89
1763266911.229423,4,2305,1771,49577984,86.89
1763266911.229485,1,2434,1899,49577984,86.89
1763266911.229625,5,2382,1851,49577984,86.89
1763266911.229725,6,2382,1813,49577984,86.89
1763266911.477946,5,2523,1992,49577984,86.89
1763266911.478000,7,2537,2009,49577984,86.89
1763266911.478234,6,2521,1952,49577984,86.89
1763266911.478369,4,2434,1900,49577984,86.89
1763266911.479041,0,2491,1925,49577984,86.89
1763266911.480979,1,2552,2017,49577984,86.89
1763266911.481080,3,2542,1995,49577984,86.89
1763266911.481158,2,2466,1950,49577984,86.89
1763266911.728156,7,2664,2136,49577984,86.89
1763266911.728246,1,2674,2139,49577984,86.89
1763266911.728448,4,2585,2051,49577984,86.89
1763266911.728690,0,2614,2048,49577984,86.89
1763266911.728975,5,2658,2127,49577984,86.89
1763266911.729000,6,2626,2057,49577984,86.89
1763266911.729223,3,2691,2144,49577984,86.89
1763266911.730505,2,2590,2074,49577984,86.89
1763266911.978029,0,2759,2193,49577984,86.89
1763266911.978144,6,2764,2195,49577984,86.89
1763266911.978236,4,2709,2175,49577984,86.89
1763266911.978556,5,2786,2255,49577984,86.89
1763266911.978874,1,2798,2263,49577984,86.89
1763266911.979729,2,2718,2202,49577984,86.89
1763266911.980631,7,2775,2247,49577984,86.89
1763266911.981256,3,2805,2258,49577984,86.89
1763266912.228038,5,2922,2391,49577984,86.89
1763266912.228188,1,2931,2396,49577984,86.89
1763266912.228585,3,2939,2392,49577984,86.89
1763266912.228641,0,2881,2315,49577984,86.89
1763266912.228709,2,2830,2314,49577984,86.89
1763266912.228863,7,2906,2378,49577984,86.89
1763266912.228943,4,2824,2290,49577984,86.89
1763266912.229838,6,2880,2311,49577984,86.89
1763266912.477884,5,3057,2526,49577984,86.89
1763266912.478566,6,3008,2439,49577984,86.89
1763266912.478635,3,3067,2520,49577984,86.89
1763266912.478705,1,3062,2527,49577984,86.89
1763266912.479418,4,2968,2434,49577984,86.89
1763266912.479507,0,3012,2446,49577984,86.89
1763266912.479576,7,3027,2499,49577984,86.89
1763266912.479851,2,2964,2448,49577984,86.89
1763266912.728102,3,3184,2637,49594368,86.89
1763266912.728146,7,3163,2635,49594368,86.89
1763266912.728345,1,3193,2658,49594368,86.89
1763266912.728394,4,3100,2566,49594368,86.89
1763266912.728565,6,3143,2574,49594368,86.89
1763266912.729513,2,3098,2582,49594368,86.89
1763266912.730524,5,3193,2662,49594368,86.89
1763266912.731365,0,3150,2584,49594368,86.89
1763266912.978198,5,3308,2777,49594368,86.89
1763266912.978362,2,3239,2723,49594368,86.89
1763266912.978444,0,3275,2709,49594368,86.89
1763266912.978532,6,3283,2714,49594368,86.89
1763266912.978677,3,3320,2773,49594368,86.89
1763266912.978771,1,3338,2803,49594368,86.89
1763266912.979144,7,3284,2756,49594368,86.89
1763266912.979245,4,3235,2701,49594368,86.89
1763266913.228082,5,3414,2883,49594368,86.89
1763266913.228629,7,3405,2877,49594368,86.89
1763266913.228709,1,3443,2908,49594368,86.89
1763266913.228795,2,3361,2845,49594368,86.89
1763266913.228908,3,3447,2900,49594368,86.89
1763266913.229160,6,3386,2817,49594368,86.89
1763266913.229296,0,3402,2836,49594368,86.89
1763266913.229946,4,3364,2830,49594368,86.89
1763266913.478280,1,3581,3046,49594368,86.89
1763266913.478664,6,3536,2967,49594368,86.89
1763266913.478712,2,3498,2982,49594368,86.89
1763266913.478846,5,3542,3011,49594368,86.89
1763266913.478928,0,3529,2963,49594368,86.89
1763266913.479039,3,3562,3015,49594368,86.89
1763266913.479329,4,3476,2942,49594368,86.89
1763266913.479715,7,3535,3007,49594368,86.89
1763266913.728843,7,3656,3128,49594368,86.89
1763266913.729050,1,3704,3169,49594368,86.89
1763266913.729232,0,3663,3097,49594368,86.89
1763266913.729467,4,3610,3076,49594368,86.89
1763266913.729608,2,3629,3113,49594368,86.89
1763266913.730733,6,3659,3090,49594368,86.89
1763266913.730982,5,3678,3147,49594368,86.89
1763266913.731060,3,3688,3141,49594368,86.89
1763266913.978221,3,3821,3274,49594368,86.89
1763266913.978297,2,3760,3244,49610752,86.89
1763266913.978456,6,3786,3217,49610752,86.89
1763266913.978815,4,3740,3206,49610752,86.89
1763266913.979134,0,3781,3215,49610752,86.89
1763266913.979968,7,3781,3253,49610752,86.89
1763266913.980735,1,3839,3304,49610752,86.89
1763266913.980807,5,3797,3266,49610752,86.89
1763266914.228188,1,3965,3430,49610752,86.89
1763266914.228329,5,3914,3383,49610752,86.89
1763266914.228465,6,3922,3353,49610752,86.89
1763266914.228959,3,3963,3416,49610752,86.89
1763266914.229488,7,3922,3394,49610752,86.89
1763266914.230204,2,3889,3373,49610752,86.89
1763266914.231148,4,3878,3344,49610752,86.89
1763266914.231229,0,3908,3342,49610752,86.89
1763266914.478073,3,4085,3538,49627136,86.89
1763266914.478137,5,4049,3518,49627136,86.89
1763266914.478386,4,4000,3466,49627136,86.89
1763266914.478687,0,4047,3481,49627136,86.89
1763266914.479369,1,4098,3563,49627136,86.89
1763266914.480221,6,4056,3487,49627136,86.89
1763266914.480453,2,4012,3496,49627136,86.89
1763266914.480624,7,4062,3534,49627136,86.89
1763266914.728215,5,4154,3623,49627136,86.89
1763266914.728603,2,4130,3614,49627136,86.89
1763266914.728706,1,4218,3683,49627136,86.89
1763266914.728838,7,4180,3652,49627136,86.89
1763266914.728904,4,4125,3591,49627136,86.89
1763266914.730431,3,4197,3650,49627136,86.89
1763266914.731781,6,4179,3610,49627136,86.89
1763266914.732447,0,4162,3596,49627136,86.89
