timestamp,worker_id,ops_total,analysis_ops,rss_bytes,system_cpu_percent,cpu_temperature_c
1763114922.191345,4,3030,0,44810240,95.57,
1763114922.191309,0,2709,0,44662784,95.57,
1763114922.191369,3,2517,0,44793856,95.57,
1763114922.191381,2,3291,0,45187072,95.57,
1763114922.191508,6,3125,0,44777472,95.57,
1763114922.191217,7,2671,0,44924928,95.57,
1763114922.191201,1,2705,0,45137920,95.57,
1763114922.191429,5,2606,0,45137920,95.57,
1763114922.441213,1,5926,0,45170688,95.57,
1763114922.441227,7,5906,0,44957696,95.57,
1763114922.441216,0,5909,0,44695552,95.57,
1763114922.441418,6,6260,0,44826624,95.57,
1763114922.441344,5,5713,0,45187072,95.57,
1763114922.441377,3,5758,0,44843008,95.57,
1763114922.441376,4,6309,0,44859392,95.57,
1763114922.441364,2,6491,0,45236224,95.57,
1763114922.691334,6,9454,0,44826624,95.57,
1763114922.691319,4,9423,0,44859392,95.57,
1763114922.691286,3,8935,0,44843008,95.57,
1763114922.691290,1,9301,0,45170688,95.57,
1763114922.691313,2,9668,0,45236224,95.57,
1763114922.691200,7,9145,0,44957696,95.57,
1763114922.691237,5,9049,0,45187072,95.57,
1763114922.691227,0,9304,0,44695552,95.57,
1763114922.941399,4,12780,1,44859392,95.57,
1763114922.941291,0,12640,1,44695552,95.57,
1763114922.941191,1,12607,1,45170688,95.57,
1763114922.941181,7,12582,1,44957696,95.57,
1763114922.941289,2,12982,1,45236224,95.57,
1763114922.941215,5,12438,1,45187072,95.57,
1763114922.941413,6,12799,1,44826624,95.57,
1763114922.941348,3,12577,1,44843008,95.57,
1763114923.191177,7,15770,3189,44990464,95.57,
1763114923.191284,0,16043,3404,44810240,95.57,
1763114923.191353,5,16028,3591,45219840,95.57,
1763114923.191308,3,15906,3330,44875776,95.57,
1763114923.191312,2,16368,3387,45350912,95.57,
1763114923.191313,4,16293,3514,44957696,95.57,
1763114923.191281,1,15955,3349,45203456,95.57,
1763114923.191322,6,15962,3164,44924928,95.57,
1763114923.441298,3,19193,6617,44875776,95.57,
1763114923.441277,6,19225,6427,44924928,95.57,
1763114923.441173,7,19159,6578,44990464,95.57,
1763114923.441295,4,19835,7056,44957696,95.57,
1763114923.441258,2,19674,6693,45350912,95.57,
1763114923.441306,1,19410,6804,45203456,95.57,
1763114923.441333,5,19361,6924,45219840,95.57,
1763114923.441268,0,19517,6878,44810240,95.57,
1763114923.691242,2,23054,10073,45350912,95.57,
1763114923.691169,7,22503,9922,44990464,95.57,
1763114923.691284,6,22548,9750,44924928,95.57,
1763114923.691180,1,22840,10234,45203456,95.57,
1763114923.691280,3,22502,9926,44875776,95.57,
1763114923.691253,0,22777,10138,44810240,95.57,
1763114923.691314,5,22705,10268,45219840,95.57,
1763114923.691345,4,23410,10631,44957696,95.57,
1763114923.941149,1,26211,13605,45203456,95.57,
1763114923.941164,0,26096,13457,44810240,95.57,
1763114923.941287,6,25923,13125,44924928,95.57,
1763114923.941282,4,26815,14036,44957696,95.57,
1763114923.941324,3,25849,13273,44875776,95.57,
1763114923.941369,2,26582,13601,45350912,95.57,
1763114923.941338,5,25849,13412,45219840,95.57,
1763114923.941287,7,25971,13390,44990464,95.57,
1763114924.191338,0,29533,16894,44810240,95.57,
1763114924.191157,1,29627,17021,45203456,95.57,
1763114924.191261,2,30051,17070,45350912,95.57,
1763114924.191252,3,29104,16528,44875776,95.57,
1763114924.191192,7,29383,16802,44990464,95.57,
1763114924.191366,6,29420,16622,44924928,95.57,
1763114924.191342,4,30157,17378,44957696,95.57,
1763114924.191352,5,28985,16548,45219840,95.57,
1763114924.441298,5,32204,19767,45219840,95.57,
1763114924.441345,2,33171,20190,45350912,95.57,
1763114924.441225,3,32375,19799,44875776,95.57,
1763114924.441396,4,33058,20279,44974080,95.57,
1763114924.441300,0,32674,20035,44810240,95.57,
1763114924.441414,6,32578,19780,44924928,95.57,
1763114924.441241,7,32533,19952,44990464,95.57,
1763114924.441220,1,32714,20108,45203456,95.57,
1763114924.691296,6,35176,22378,44924928,95.57,
1763114924.691182,7,35616,23035,44990464,95.57,
1763114924.691318,2,36172,23191,45350912,95.57,
1763114924.691248,3,35444,22868,44875776,95.57,
1763114924.691300,4,36470,23691,44974080,95.57,
1763114924.691247,1,36071,23465,45203456,95.57,
1763114924.691231,5,35248,22811,45219840,95.57,
1763114924.691287,0,35662,23023,44810240,95.57,
1763114924.941341,2,39195,26214,45350912,95.57,
1763114924.941313,7,38641,26060,44990464,95.57,
1763114924.941200,5,38271,25834,45219840,95.57,
1763114924.941253,4,39619,26840,44974080,95.57,
1763114924.941328,0,38905,26266,44810240,95.57,
1763114924.941335,6,38058,25260,44924928,95.57,
1763114924.941242,3,38304,25728,44875776,95.57,
1763114924.941191,1,39307,26701,45203456,95.57,
1763114925.191211,2,42467,29486,45350912,95.57,
1763114925.191197,0,42155,29516,44810240,95.57,
1763114925.191154,1,42616,30010,45203456,95.57,
1763114925.191221,5,41842,29405,45219840,95.57,
1763114925.191292,3,41559,28983,44875776,95.57,
1763114925.191298,6,41190,28392,44924928,95.57,
1763114925.191314,4,42680,29901,44974080,95.57,
1763114925.191311,7,41784,29203,44990464,95.57,
1763114925.441314,3,44950,32374,44875776,95.57,
1763114925.441268,2,45834,32853,45350912,95.57,
1763114925.441260,4,46060,33281,44974080,95.57,
1763114925.441282,5,45097,32660,45219840,95.57,
1763114925.441259,1,45852,33246,45203456,95.57,
1763114925.441291,0,45520,32881,44810240,95.57,
1763114925.441326,6,44711,31913,44924928,95.57,
1763114925.441332,7,45161,32580,44990464,95.57,
1763114925.691213,3,48431,35855,44875776,95.57,
1763114925.691181,7,48364,35783,44990464,95.57,
1763114925.691189,0,48987,36348,44810240,95.57,
1763114925.691296,4,49398,36619,44974080,95.57,
1763114925.691331,2,49242,36261,45350912,95.57,
1763114925.691307,6,47909,35111,44924928,95.57,
1763114925.691284,1,49266,36660,45203456,95.57,
1763114925.691324,5,48462,36025,45219840,95.57,
1763114925.941322,3,51849,39273,44875776,95.57,
1763114925.941367,6,51186,38388,44924928,95.57,
1763114925.941215,7,51674,39093,44990464,95.57,
1763114925.941212,5,51870,39433,45219840,95.57,
1763114925.941260,4,52768,39989,44974080,95.57,
1763114925.941257,0,52537,39898,44810240,95.57,
1763114925.941124,1,52612,40006,45203456,95.57,
1763114925.941222,2,52510,39529,45350912,95.57,
1763114926.191211,3,55116,42540,44875776,95.57,
1763114926.191112,1,55933,43327,45203456,95.57,
1763114926.191144,0,55841,43202,44810240,95.57,
1763114926.191247,6,54579,41781,44924928,95.57,
1763114926.191205,7,55042,42461,44990464,95.57,
1763114926.191305,5,55271,42834,45219840,95.57,
1763114926.191236,4,56276,43497,44974080,95.57,
1763114926.191281,2,55856,42875,45350912,95.57,
1763114926.441271,5,58525,46088,45219840,95.57,
1763114926.441210,7,58136,45555,44990464,95.57,
1763114926.441356,2,59461,46480,45350912,95.57,
1763114926.441261,4,59288,46509,44974080,95.57,
1763114926.441345,3,58402,45826,44875776,95.57,
1763114926.441279,6,58101,45303,44924928,95.57,
1763114926.441187,0,59210,46571,44810240,95.57,
1763114926.441179,1,59502,46896,45203456,95.57,
1763114926.691200,1,62889,50283,45203456,95.57,
1763114926.691207,5,61813,49376,45219840,95.57,
1763114926.691249,6,61461,48663,44924928,95.57,
1763114926.691240,3,61674,49098,44875776,95.57,
1763114926.691283,2,62587,49606,45350912,95.57,
1763114926.691292,0,62417,49778,44810240,95.57,
1763114926.691324,4,62623,49844,44974080,95.57,
1763114926.691896,7,61510,48929,44990464,95.57,
1763114926.942680,5,65000,52563,45219840,95.57,
1763114926.941295,7,64616,52035,44990464,95.57,
1763114926.941300,3,64792,52216,44875776,95.57,
1763114926.941476,2,65893,52912,45350912,95.57,
1763114926.941306,0,65651,53012,44810240,95.57,
1763114926.941435,1,65778,53172,45203456,95.57,
1763114926.941357,6,64614,51816,44924928,95.57,
1763114926.942290,4,65729,52950,44974080,95.57,
1763114927.191227,5,68058,55621,45219840,95.57,
1763114927.191246,7,67638,55057,44990464,95.57,
1763114927.191237,0,68935,56296,44810240,95.57,
1763114927.191324,3,67652,55076,44875776,95.57,
1763114927.191335,6,67190,54392,44924928,95.57,
1763114927.191361,4,68745,55966,44974080,95.57,
1763114927.191319,2,68997,56016,45350912,95.57,
1763114927.191311,1,68943,56337,45203456,95.57,
1763114927.441352,4,71871,59092,44974080,95.57,
1763114927.441116,1,72255,59649,45203456,95.57,
1763114927.441367,6,70802,58004,44924928,95.57,
1763114927.441143,0,72078,59439,44810240,95.57,
1763114927.441135,7,70987,58406,44990464,95.57,
1763114927.441389,5,71454,59017,45219840,95.57,
1763114927.441194,3,71149,58573,44875776,95.57,
1763114927.441322,2,72187,59206,45350912,95.57,
1763114927.691111,7,74277,61696,44990464,95.57,
1763114927.691179,5,74722,62285,45219840,95.57,
1763114927.691284,0,75354,62715,44810240,95.57,
1763114927.691284,3,74347,61771,44875776,95.57,
1763114927.691299,1,75887,63281,45203456,95.57,
1763114927.691325,2,75428,62447,45350912,95.57,
1763114927.691350,4,75246,62467,44974080,95.57,
1763114927.691343,6,74251,61453,44924928,95.57,
