timestamp,worker_id,ops_total,analysis_ops,rss_bytes,system_cpu_percent,cpu_temperature_c
1763116752.333684,1,10,0,46170112,99.95,
1763116752.340356,8,10,0,46284800,99.95,
1763116752.340964,2,10,0,45907968,99.95,
1763116752.343357,7,11,0,45891584,99.95,
1763116752.344064,4,10,0,46039040,99.95,
1763116752.345538,3,11,0,45809664,99.95,
1763116752.349635,0,11,0,45924352,99.95,
1763116752.351807,6,10,0,46039040,99.95,
1763116752.357287,5,11,0,46153728,99.95,
1763116752.359879,9,11,0,45989888,99.95,
1763116752.583260,4,20,0,46071808,99.95,
1763116752.591995,5,21,0,46186496,99.95,
1763116752.593835,1,21,0,46202880,99.95,
1763116752.594504,0,21,0,45957120,99.95,
1763116752.596637,3,22,0,45842432,99.95,
1763116752.598388,6,20,0,46071808,99.95,
1763116752.600325,9,21,0,46022656,99.95,
1763116752.601131,2,21,0,45940736,99.95,
1763116752.604020,7,22,0,45924352,99.95,
1763116752.606460,8,21,0,46317568,99.95,
1763116752.834893,2,31,0,45940736,99.95,
1763116752.836674,8,31,0,46317568,99.95,
1763116752.837984,3,32,0,45842432,99.95,
1763116752.838411,7,32,0,45924352,99.95,
1763116752.839069,4,31,0,46071808,99.95,
1763116752.840034,9,31,0,46022656,99.95,
1763116752.848980,6,31,0,46071808,99.95,
1763116752.849341,5,32,0,46186496,99.95,
1763116752.854331,0,32,0,45957120,99.95,
1763116752.857169,1,32,0,46202880,99.95,
1763116753.083282,0,42,1,45957120,99.95,
1763116753.084017,2,42,1,45940736,99.95,
1763116753.085874,4,42,1,46071808,99.95,
1763116753.087226,8,42,1,46317568,99.95,
1763116753.090274,3,43,1,45842432,99.95,
1763116753.095482,1,43,1,46202880,99.95,
1763116753.096422,5,43,1,46186496,99.95,
1763116753.101734,7,44,1,45924352,99.95,
1763116753.102522,6,42,1,46071808,99.95,
1763116753.103294,9,43,1,46022656,99.95,
1763116753.336682,2,53,12,45940736,99.95,
1763116753.337280,5,54,12,46186496,99.95,
1763116753.338251,3,54,12,45842432,99.95,
1763116753.340677,1,54,12,46202880,99.95,
1763116753.343767,4,54,13,46071808,99.95,
1763116753.344385,7,55,12,45924352,99.95,
1763116753.345582,0,54,13,45957120,99.95,
1763116753.346080,8,54,13,46317568,99.95,
1763116753.351109,9,54,12,46022656,99.95,
1763116753.361171,6,54,13,46071808,99.95,
1763116753.582954,7,66,23,45924352,99.95,
1763116753.585262,8,65,24,46317568,99.95,
1763116753.589688,9,65,23,46022656,99.95,
1763116753.590678,4,65,24,46071808,99.95,
1763116753.594782,2,65,24,45940736,99.95,
1763116753.595656,1,66,24,46202880,99.95,
1763116753.598320,3,66,24,45842432,99.95,
1763116753.603630,5,66,24,46186496,99.95,
1763116753.604360,0,61,20,45957120,99.95,
1763116753.614835,6,65,24,46071808,99.95,
1763116753.835683,1,77,35,46202880,99.95,
1763116753.837945,7,78,35,45924352,99.95,
1763116753.838656,3,77,35,45842432,99.95,
1763116753.839547,2,76,35,45940736,99.95,
1763116753.847176,5,77,35,46186496,99.95,
1763116753.847208,0,72,31,45957120,99.95,
1763116753.848427,8,77,36,46317568,99.95,
1763116753.850419,4,77,36,46071808,99.95,
1763116753.850899,6,76,35,46071808,99.95,
1763116753.853879,9,77,35,46022656,99.95,
1763116754.083879,2,87,46,45940736,99.95,
1763116754.085443,3,88,46,45842432,99.95,
1763116754.085842,0,82,41,45957120,99.95,
1763116754.085923,5,88,46,46186496,99.95,
1763116754.091822,8,88,47,46317568,99.95,
1763116754.093398,4,88,47,46071808,99.95,
1763116754.097087,9,88,46,46022656,99.95,
1763116754.099901,6,87,46,46071808,99.95,
1763116754.100224,7,90,47,45924352,99.95,
1763116754.101767,1,89,47,46202880,99.95,
1763116754.338334,8,99,58,46317568,99.95,
1763116754.338694,1,100,58,46202880,99.95,
1763116754.339085,2,99,58,45940736,99.95,
1763116754.339656,7,101,58,45924352,99.95,
1763116754.346888,3,100,58,45842432,99.95,
1763116754.347079,0,94,53,45957120,99.95,
1763116754.348706,4,100,59,46071808,99.95,
1763116754.350359,5,100,58,46186496,99.95,
1763116754.355804,9,100,58,46022656,99.95,
1763116754.358558,6,99,58,46071808,99.95,
1763116754.582424,0,105,64,45957120,99.95,
1763116754.583389,3,111,69,45842432,99.95,
1763116754.585157,5,111,69,46186496,99.95,
1763116754.589632,4,111,70,46088192,99.95,
1763116754.590238,9,111,69,46022656,99.95,
1763116754.593015,7,113,70,45924352,99.95,
1763116754.595509,1,112,70,46202880,99.95,
1763116754.597770,8,111,70,46333952,99.95,
1763116754.597476,2,111,70,45940736,99.95,
1763116754.616163,6,111,70,46071808,99.95,
1763116754.834058,1,123,81,46202880,99.95,
1763116754.835751,8,122,81,46333952,99.95,
1763116754.837417,3,123,81,45842432,99.95,
1763116754.840803,2,122,81,45957120,99.95,
1763116754.841887,0,117,76,45957120,99.95,
1763116754.846937,9,123,81,46022656,99.95,
1763116754.848956,4,123,82,46088192,99.95,
1763116754.850568,7,125,82,45924352,99.95,
1763116754.852123,5,123,81,46186496,99.95,
1763116754.859412,6,122,81,46071808,99.95,
1763116755.085250,4,134,93,46088192,99.95,
1763116755.085711,2,133,92,45957120,99.95,
1763116755.088306,5,134,92,46186496,99.95,
1763116755.090300,7,136,93,45924352,99.95,
1763116755.090727,1,135,93,46202880,99.95,
1763116755.092821,8,134,93,46333952,99.95,
1763116755.094576,3,135,93,45842432,99.95,
1763116755.100902,9,135,93,46022656,99.95,
1763116755.101437,6,133,92,46071808,99.95,
1763116755.103938,0,129,88,45957120,99.95,
1763116755.332605,7,147,104,45924352,99.95,
1763116755.332822,8,145,104,46333952,99.95,
1763116755.332912,0,140,99,45957120,99.95,
1763116755.334086,3,146,104,45842432,99.95,
1763116755.339475,4,146,105,46088192,99.95,
1763116755.342002,5,146,104,46202880,99.95,
1763116755.342322,9,146,104,46022656,99.95,
1763116755.344899,1,147,105,46202880,99.95,
1763116755.346882,2,145,104,45957120,99.95,
1763116755.352314,6,145,104,46071808,99.95,
1763116755.589018,8,157,116,46333952,99.95,
1763116755.589040,7,159,116,45924352,99.95,
1763116755.590696,4,158,117,46088192,99.95,
1763116755.591517,2,156,115,45957120,99.95,
1763116755.596406,3,158,116,45858816,99.95,
1763116755.596850,5,158,116,46202880,99.95,
1763116755.596854,0,152,111,45957120,99.95,
1763116755.600417,9,158,116,46022656,99.95,
1763116755.601669,1,159,117,46202880,99.95,
1763116755.603747,6,157,116,46071808,99.95,
1763116755.833921,4,169,128,46088192,99.95,
1763116755.837514,0,163,122,45957120,99.95,
1763116755.837922,8,168,127,46333952,99.95,
1763116755.837968,1,170,128,46202880,99.95,
1763116755.839697,3,169,127,45858816,99.95,
1763116755.841048,2,167,126,45957120,99.95,
1763116755.841979,5,169,127,46202880,99.95,
1763116755.847557,7,171,128,45924352,99.95,
1763116755.850659,6,168,127,46071808,99.95,
1763116755.858633,9,170,128,46022656,99.95,
1763116756.084023,1,181,139,46202880,99.95,
1763116756.084761,8,179,138,46333952,99.95,
1763116756.088505,7,182,139,45924352,99.95,
1763116756.091694,3,181,139,45858816,99.95,
1763116756.094782,4,181,140,46088192,99.95,
1763116756.095244,0,175,134,45957120,99.95,
1763116756.095286,9,181,139,46022656,99.95,
1763116756.100236,5,181,139,46202880,99.95,
1763116756.101145,2,179,138,45957120,99.95,
1763116756.112270,6,180,139,46071808,99.95,
1763116756.332798,2,190,149,45957120,99.95,
1763116756.341337,8,191,150,46333952,99.95,
1763116756.345063,4,193,152,46088192,99.95,
1763116756.345112,7,194,151,45924352,99.95,
1763116756.345617,9,193,151,46022656,99.95,
1763116756.347105,3,193,151,45858816,99.95,
1763116756.347530,1,193,151,46202880,99.95,
1763116756.348930,5,192,150,46202880,99.95,
1763116756.349037,0,187,146,45957120,99.95,
1763116756.350079,6,191,150,46071808,99.95,
1763116756.585479,5,203,161,46202880,99.95,
1763116756.586156,0,198,157,45957120,99.95,
1763116756.587332,2,202,161,45957120,99.95,
1763116756.593662,9,205,163,46022656,99.95,
1763116756.596676,8,203,162,46333952,99.95,
1763116756.597425,4,205,164,46088192,99.95,
1763116756.601895,6,203,162,46071808,99.95,
1763116756.602275,7,206,163,45924352,99.95,
1763116756.602575,3,205,163,45858816,99.95,
1763116756.603040,1,205,163,46202880,99.95,
1763116756.832581,7,217,174,45940736,99.95,
1763116756.833167,2,214,173,45973504,99.95,
1763116756.834258,1,216,174,46219264,99.95,
1763116756.836340,0,210,169,45957120,99.95,
1763116756.834952,8,214,173,46350336,99.95,
1763116756.840660,4,216,175,46104576,99.95,
1763116756.843559,3,216,174,45875200,99.95,
1763116756.847861,5,215,173,46219264,99.95,
1763116756.855962,9,217,175,46039040,99.95,
1763116756.864624,6,215,174,46088192,99.95,
1763116757.083217,1,228,186,46219264,99.95,
1763116757.084781,0,222,181,45973504,99.95,
1763116757.086438,8,226,185,46350336,99.95,
1763116757.087017,2,226,185,45973504,99.95,
1763116757.088487,9,228,186,46039040,99.95,
1763116757.091607,4,228,187,46104576,99.95,
1763116757.092759,7,229,186,45940736,99.95,
1763116757.100677,3,228,186,45875200,99.95,
1763116757.102057,5,227,185,46219264,99.95,
1763116757.113771,6,227,186,46088192,99.95,
1763116757.335074,2,238,197,45973504,99.95,
1763116757.337062,8,238,197,46350336,99.95,
1763116757.339376,4,240,199,46104576,99.95,
1763116757.339435,9,240,198,46039040,99.95,
1763116757.341786,3,239,197,45875200,99.95,
1763116757.344134,1,240,198,46219264,99.95,
1763116757.344228,0,234,193,45973504,99.95,
1763116757.350579,5,239,197,46219264,99.95,
1763116757.351281,7,241,198,45940736,99.95,
1763116757.356068,6,238,197,46088192,99.95,
1763116757.587160,5,250,208,46219264,99.95,
1763116757.588389,9,252,210,46039040,99.95,
1763116757.589706,2,250,209,45973504,99.95,
1763116757.589919,1,252,210,46219264,99.95,
1763116757.592593,4,252,211,46104576,99.95,
1763116757.595201,8,250,209,46350336,99.95,
1763116757.595621,0,246,205,45973504,99.95,
1763116757.596033,3,251,209,45875200,99.95,
1763116757.602953,7,253,210,45940736,99.95,
1763116757.610489,6,250,209,46088192,99.95,
1763116757.839154,7,264,221,45940736,99.95,
1763116757.840345,9,264,222,46039040,99.95,
1763116757.842360,0,258,217,45973504,99.95,
1763116757.842707,4,264,223,46104576,99.95,
1763116757.845725,1,264,222,46219264,99.95,
1763116757.845983,3,263,221,45875200,99.95,
1763116757.848057,5,262,220,46219264,99.95,
1763116757.848473,2,262,221,45973504,99.95,
1763116757.852248,8,262,221,46350336,99.95,
1763116757.860711,6,262,221,46088192,99.95,
1763116758.086531,5,273,231,46219264,99.95,
1763116758.087274,8,273,232,46350336,99.95,
1763116758.090220,9,276,234,46039040,99.95,
1763116758.092279,7,276,233,45940736,99.95,
1763116758.094710,4,276,235,46104576,99.95,
1763116758.095265,0,270,229,45973504,99.95,
1763116758.097225,3,275,233,45875200,99.95,
1763116758.099561,2,274,233,45973504,99.95,
1763116758.100702,1,276,234,46219264,99.95,
1763116758.111768,6,274,233,46088192,99.95,
1763116758.333884,1,287,245,46219264,99.95,
1763116758.336061,8,285,244,46350336,99.95,
1763116758.336728,2,285,244,45973504,99.95,
1763116758.339297,5,285,243,46219264,99.95,
1763116758.341887,9,288,246,46039040,99.95,
1763116758.341965,7,288,245,45940736,99.95,
1763116758.343912,3,287,245,45875200,99.95,
1763116758.344500,4,288,247,46104576,99.95,
1763116758.347758,6,285,244,46088192,99.95,
1763116758.349437,0,282,241,45973504,99.95,
1763116758.583706,1,299,257,46219264,99.95,
1763116758.586546,2,297,256,45973504,99.95,
1763116758.592301,5,297,255,46219264,99.95,
1763116758.592518,4,300,259,46104576,99.95,
1763116758.595416,8,297,256,46350336,99.95,
1763116758.596181,9,300,258,46039040,99.95,
1763116758.597970,6,297,256,46088192,99.95,
1763116758.599904,7,300,257,45940736,99.95,
1763116758.600092,3,299,257,45875200,99.95,
1763116758.603524,0,294,253,45973504,99.95,
1763116758.832756,8,308,267,46350336,99.95,
1763116758.836256,0,305,264,45973504,99.95,
1763116758.842396,1,311,269,46219264,99.95,
1763116758.842724,2,309,268,45973504,99.95,
1763116758.847056,4,312,271,46104576,99.95,
1763116758.847068,5,309,267,46219264,99.95,
1763116758.847565,3,311,269,45875200,99.95,
1763116758.848538,7,312,269,45940736,99.95,
1763116758.850246,6,309,268,46088192,99.95,
1763116758.855278,9,312,270,46039040,99.95,
1763116759.088139,4,323,282,46104576,99.95,
1763116759.094450,9,323,281,46039040,99.95,
1763116759.094617,1,323,281,46219264,99.95,
1763116759.097270,2,321,280,45973504,99.95,
1763116759.098434,0,317,276,45973504,99.95,
1763116759.098898,7,323,280,45940736,99.95,
1763116759.098924,6,321,280,46088192,99.95,
1763116759.100426,5,321,279,46219264,99.95,
1763116759.101598,8,320,279,46350336,99.95,
1763116759.101822,3,323,281,45875200,99.95,
1763116759.333600,8,331,290,46350336,99.95,
1763116759.333986,5,332,290,46219264,99.95,
1763116759.336112,4,335,294,46104576,99.95,
1763116759.337742,3,334,292,45875200,99.95,
1763116759.339113,9,335,293,46039040,99.95,
1763116759.340633,7,334,291,45940736,99.95,
1763116759.346777,1,335,293,46219264,99.95,
1763116759.349554,0,329,288,45973504,99.95,
1763116759.352085,2,333,292,45973504,99.95,
1763116759.354876,6,333,292,46088192,99.95,
1763116759.587324,8,343,302,46350336,99.95,
1763116759.589401,7,346,303,45940736,99.95,
1763116759.590405,5,344,302,46219264,99.95,
1763116759.590779,3,346,304,45875200,99.95,
1763116759.591877,4,347,306,46104576,99.95,
1763116759.595774,1,347,305,46219264,99.95,
1763116759.597711,9,347,305,46039040,99.95,
1763116759.600263,0,341,300,45973504,99.95,
1763116759.602274,2,345,304,45973504,99.95,
1763116759.605104,6,345,304,46088192,99.95,
1763116759.837268,0,352,311,45973504,99.95,
1763116759.839104,2,356,315,45989888,99.95,
1763116759.839454,3,358,316,45891584,99.95,
1763116759.842470,7,358,315,45957120,99.95,
1763116759.843985,4,359,318,46120960,99.95,
1763116759.844348,1,359,317,46219264,99.95,
1763116759.845617,8,355,314,46350336,99.95,
1763116759.846052,5,356,314,46219264,99.95,
1763116759.847189,9,359,317,46055424,99.95,
1763116759.863479,6,357,316,46088192,99.95,
1763116760.084956,5,367,325,46219264,99.95,
1763116760.093306,1,371,329,46219264,99.95,
1763116760.095388,9,371,329,46055424,99.95,
1763116760.096725,4,371,330,46120960,99.95,
1763116760.096678,2,368,327,45989888,99.95,
1763116760.099634,0,364,323,45973504,99.95,
1763116760.099878,7,370,327,45957120,99.95,
1763116760.100681,6,368,327,46088192,99.95,
1763116760.102332,3,370,328,45891584,99.95,
1763116760.103086,8,367,326,46350336,99.95,
1763116760.332963,8,378,337,46350336,99.95,
1763116760.335188,7,381,338,45957120,99.95,
1763116760.337772,2,379,338,45989888,99.95,
1763116760.337860,4,382,341,46120960,99.95,
1763116760.338435,5,379,337,46219264,99.95,
1763116760.341169,1,383,341,46219264,99.95,
1763116760.344595,3,381,339,45891584,99.95,
1763116760.347056,9,383,341,46055424,99.95,
1763116760.350902,6,380,339,46088192,99.95,
1763116760.352844,0,376,335,45973504,99.95,
1763116760.584931,7,393,350,45957120,99.95,
