timestamp,worker_id,ops_total,analysis_ops,rss_bytes,system_cpu_percent
1763268637.065473,0,3,0,36454400,87.32
1763268637.065677,7,3,0,36454400,87.32
1763268637.066489,3,3,0,36454400,87.32
1763268637.066619,5,3,0,36454400,87.32
1763268637.066678,1,3,0,36454400,87.32
1763268637.069050,6,3,0,36454400,87.32
1763268637.069668,2,3,0,36454400,87.32
1763268637.075019,4,3,0,36454400,87.32
1763268637.284648,7,5,0,36372480,87.32
1763268637.288627,5,5,0,36372480,87.32
1763268637.292124,3,5,0,36372480,87.32
1763268637.292366,0,5,0,36372480,87.32
1763268637.293328,6,5,0,36372480,87.32
1763268637.294940,1,5,0,36372480,87.32
1763268637.297825,2,5,0,36372480,87.32
1763268637.306787,4,5,0,36372480,87.32
1763268637.509049,5,7,0,36356096,87.32
1763268637.510783,7,7,0,36356096,87.32
1763268637.514291,6,7,0,36356096,87.32
1763268637.517419,3,7,0,36356096,87.32
1763268637.518296,1,7,0,36356096,87.32
1763268637.519455,0,7,0,36356096,87.32
1763268637.520759,2,7,0,36356096,87.32
1763268637.528798,4,7,0,36356096,87.32
1763268637.734384,7,9,1,36356096,87.32
1763268637.734462,3,9,1,36356096,87.32
1763268637.735305,5,9,1,36356096,87.32
1763268637.738906,6,9,1,36356096,87.32
1763268637.739236,0,9,1,36356096,87.32
1763268637.741744,1,9,1,36356096,87.32
1763268637.741945,2,9,1,36356096,87.32
1763268637.749640,4,9,1,36356096,87.32
1763268638.055710,2,12,4,36143104,87.32
1763268638.056498,6,12,4,36143104,87.32
1763268638.056790,7,12,4,36143104,87.32
1763268638.072156,5,12,4,36143104,87.32
1763268638.073482,1,12,4,36143104,87.32
1763268638.073689,3,12,4,36143104,87.32
1763268638.079535,0,12,4,36143104,87.32
1763268638.080567,4,12,4,36143104,87.32
1763268638.279948,7,14,6,35930112,87.32
1763268638.287067,2,14,6,35930112,87.32
1763268638.287152,6,14,6,35930112,87.32
1763268638.289222,5,14,6,35930112,87.32
1763268638.291944,3,14,6,35930112,87.32
1763268638.294836,0,14,6,35930112,87.32
