timestamp,worker_id,ops_total,analysis_ops,rss_bytes,system_cpu_percent,cpu_temperature_c
1763116805.007648,1,201,0,46022656,83.51,
1763116805.007666,5,201,0,46235648,83.51,
1763116805.007783,0,191,0,46284800,83.51,
1763116805.007976,2,204,0,46153728,83.51,
1763116805.007967,3,199,0,46268416,83.51,
1763116805.008005,4,196,0,45875200,83.51,
1763116805.257547,1,399,0,46071808,83.51,
1763116805.257783,4,389,0,45924352,83.51,
1763116805.257986,5,404,0,46301184,83.51,
1763116805.258027,2,406,0,46202880,83.51,
1763116805.258146,3,396,0,46333952,83.51,
1763116805.258452,0,391,0,46333952,83.51,
1763116805.507560,3,597,0,46333952,83.51,
1763116805.507608,1,589,0,46088192,83.51,
1763116805.507739,5,602,0,46333952,83.51,
1763116805.507777,0,594,0,46350336,83.51,
1763116805.507975,2,608,0,46219264,83.51,
1763116805.508328,4,585,0,45940736,83.51,
1763116805.757434,3,799,1,46366720,83.51,
1763116805.757509,2,811,1,46235648,83.51,
1763116805.757691,4,789,1,45957120,83.51,
1763116805.757821,1,789,1,46120960,83.51,
1763116805.757966,5,797,1,46333952,83.51,
1763116805.758651,0,796,1,46366720,83.51,
1763116806.007733,5,997,201,46383104,83.51,
1763116806.007801,0,999,204,46415872,83.51,
1763116806.007945,3,1006,208,46399488,83.51,
1763116806.008229,2,1015,205,46284800,83.51,
1763116806.008168,1,993,205,46153728,83.51,
1763116806.008230,4,989,201,46006272,83.51,
1763116806.257785,1,1197,409,46186496,83.51,
1763116806.257829,2,1218,408,46301184,83.51,
1763116806.258088,5,1199,403,46399488,83.51,
1763116806.258086,0,1203,408,46432256,83.51,
1763116806.258159,4,1185,397,46039040,83.51,
1763116806.258309,3,1216,418,46415872,83.51,
1763116806.507705,2,1362,552,46317568,83.51,
1763116806.507759,3,1400,602,46432256,83.51,
1763116806.508000,5,1347,551,46415872,83.51,
1763116806.508334,1,1390,602,46202880,83.51,
1763116806.508333,0,1371,576,46448640,83.51,
1763116806.508342,4,1364,576,46071808,83.51,
1763116806.757581,0,1563,768,46497792,83.51,
1763116806.757713,4,1569,781,46120960,83.51,
1763116806.757912,1,1577,789,46235648,83.51,
1763116806.758143,3,1602,804,46481408,83.51,
1763116806.758220,5,1542,746,46448640,83.51,
1763116806.758369,2,1554,744,46350336,83.51,
1763116807.007344,3,1802,1004,46497792,83.51,
1763116807.008299,1,1767,979,46252032,83.51,
1763116807.008313,0,1761,966,46497792,83.51,
1763116807.008326,4,1771,983,46120960,83.51,
1763116807.008472,5,1736,940,46465024,83.51,
1763116807.008541,2,1750,940,46366720,83.51,
1763116807.257762,2,1923,1113,46383104,83.51,
1763116807.257983,4,1972,1184,46137344,83.51,
1763116807.258031,1,1923,1135,46268416,83.51,
1763116807.258064,3,1997,1199,46514176,83.51,
1763116807.257759,0,1962,1167,46514176,83.51,
1763116807.258284,5,1939,1143,46481408,83.51,
1763116807.507862,0,2128,1333,46530560,83.51,
1763116807.508131,1,2104,1316,46284800,83.51,
1763116807.508348,4,2185,1397,46170112,83.51,
1763116807.508424,3,2177,1379,46530560,83.51,
1763116807.511491,2,2015,1205,46383104,83.51,
1763116807.540062,5,2054,1258,46497792,83.51,
1763116807.757540,2,2178,1368,46399488,83.51,
1763116807.757586,3,2353,1555,46546944,83.51,
1763116807.757717,5,2167,1371,46514176,83.51,
1763116807.758239,1,2246,1458,46301184,83.51,
1763116807.759731,4,2306,1518,46170112,83.51,
1763116807.759877,0,2258,1463,46546944,83.51,
1763116808.007411,0,2457,1662,46563328,83.51,
1763116808.007449,5,2361,1565,46514176,83.51,
1763116808.007619,4,2503,1715,46202880,83.51,
1763116808.007657,1,2445,1657,46333952,83.51,
1763116808.008133,3,2522,1724,46563328,83.51,
1763116808.008394,2,2374,1564,46415872,83.51,
1763116808.257667,2,2580,1770,46448640,83.51,
1763116808.257692,4,2707,1919,46219264,83.51,
1763116808.257682,0,2659,1864,46596096,83.51,
1763116808.257643,5,2565,1769,46546944,83.51,
1763116808.257694,1,2652,1864,46333952,83.51,
1763116808.257920,3,2725,1927,46579712,83.51,
1763116808.507647,5,2771,1975,46563328,83.51,
1763116808.507859,2,2787,1977,46465024,83.51,
1763116808.507938,1,2858,2070,46350336,83.51,
1763116808.508013,3,2929,2131,46596096,83.51,
1763116808.508005,0,2862,2067,46612480,83.51,
1763116808.507986,4,2909,2121,46235648,83.51,
1763116808.757502,3,3142,2344,46628864,83.51,
1763116808.757522,0,3073,2278,46628864,83.51,
1763116808.757736,2,2997,2187,46481408,83.51,
1763116808.757888,1,3062,2274,46383104,83.51,
1763116808.757958,4,3111,2323,46252032,83.51,
