timestamp,worker_id,ops_total,analysis_ops,rss_bytes,system_cpu_percent
1763268843.718630,0,945,0,51757056,28.76
1763268843.718672,1,953,0,51757056,28.76
1763268843.968473,0,1857,0,51937280,28.76
1763268843.968509,1,1877,0,51937280,28.76
1763268844.218404,1,2742,0,52101120,28.76
1763268844.218431,0,2732,0,52101120,28.76
1763268844.468407,0,3657,1,52281344,28.76
1763268844.468522,1,3659,1,52281344,28.76
1763268844.718370,1,4520,862,52445184,28.76
1763268844.718417,0,4426,770,52445184,28.76
1763268844.968430,0,5357,1701,52625408,28.76
1763268844.968457,1,5448,1790,52625408,28.76
1763268845.218420,1,6371,2713,52805632,28.76
1763268845.218500,0,6286,2630,52805632,28.76
1763268845.468379,1,7295,3637,52985856,28.76
1763268845.468437,0,7235,3579,52985856,28.76
1763268845.718553,1,8166,4508,53149696,28.76
1763268845.718584,0,8085,4429,53149696,28.76
1763268845.968498,1,9075,5417,53329920,28.76
1763268845.968590,0,8993,5337,53329920,28.76
1763268846.218374,0,9938,6282,53510144,28.76
1763268846.218555,1,10010,6352,53510144,28.76
1763268846.468375,0,10882,7226,53690368,28.76
1763268846.468425,1,10956,7298,53690368,28.76
1763268846.718540,0,11768,8112,53854208,28.76
1763268846.718573,1,11865,8207,53854208,28.76
1763268846.968401,1,12769,9111,54018048,28.76
1763268846.968435,0,12593,8937,54018048,28.76
1763268847.218418,1,13712,10054,54198272,28.76
1763268847.218446,0,13515,9859,54198272,28.76
1763268847.468395,0,14443,10787,54378496,28.76
1763268847.468446,1,14626,10968,54378496,28.76
1763268847.718568,0,15346,11690,54558720,28.76
1763268847.718595,1,15557,11899,54558720,28.76
1763268847.968328,0,16275,12619,54738944,28.76
1763268847.968355,1,16477,12819,54738944,28.76
1763268848.218377,0,17197,13541,54935552,28.76
1763268848.218407,1,17410,13752,54935552,28.76
1763268848.468527,0,18121,14465,55115776,28.76
1763268848.468566,1,18344,14686,55115776,28.76
1763268848.718524,0,19011,15355,55279616,28.76
1763268848.718564,1,19253,15595,55279616,28.76
1763268848.968503,1,20116,16458,55443456,28.76
1763268848.968540,0,19877,16221,55443456,28.76
1763268849.218434,0,20802,17146,55623680,28.76
1763268849.218509,1,21035,17377,55623680,28.76
1763268849.468544,1,21792,18134,55771136,28.76
1763268849.468587,0,21579,17923,55771136,28.76
1763268849.718399,0,22267,18611,55918592,28.76
1763268849.718554,1,22456,18798,55918592,28.76
1763268849.968624,0,23014,19358,56049664,28.76
1763268849.968676,1,23177,19519,56049664,28.76
1763268850.218565,0,23771,20115,56197120,28.76
1763268850.218617,1,23912,20254,56197120,28.76
1763268850.468536,1,24650,20992,56344576,28.76
1763268850.468586,0,24499,20843,56344576,28.76
1763268850.718488,0,25265,21609,56492032,28.76
1763268850.718543,1,25414,21756,56492032,28.76
1763268850.968526,1,26101,22443,56623104,28.76
1763268850.968575,0,25947,22291,56623104,28.76
1763268851.218676,0,26609,22953,56754176,28.76
1763268851.218730,1,26764,23106,56754176,28.76
1763268851.468517,1,27480,23822,56885248,28.76
1763268851.468559,0,27310,23654,56885248,28.76
1763268851.718402,0,28031,24375,57016320,28.76
1763268851.718447,1,28167,24509,57016320,28.76
1763268851.968325,0,28780,25124,57163776,28.76
1763268851.968571,1,28893,25235,57163776,28.76
1763268852.218535,1,29658,26000,57311232,28.76
1763268852.218600,0,29537,25881,57311232,28.76
1763268852.468618,0,30229,26573,57442304,28.76
1763268852.468649,1,30377,26719,57442304,28.76
1763268852.718467,0,30989,27333,57589760,28.76
1763268852.718562,1,31102,27444,57589760,28.76
1763268852.968387,0,31704,28048,57720832,28.76
1763268852.968599,1,31856,28198,57720832,28.76
1763268853.218559,0,32448,28792,57868288,28.76
1763268853.218604,1,32622,28964,57868288,28.76
1763268853.468371,0,33246,29590,58032128,28.76
1763268853.468574,1,33380,29722,58032128,28.76
1763268853.718476,1,34112,30454,58163200,28.76
1763268853.718523,0,34024,30368,58163200,28.76
1763268853.968367,0,34782,31126,58310656,28.76
1763268853.968405,1,34804,31146,58310656,28.76
1763268854.218367,0,35623,31967,58474496,28.76
1763268854.218575,1,35595,31937,58474496,28.76
1763268854.468395,0,36501,32844,58638336,28.76
1763268854.468525,1,36433,32774,58638336,28.76
1763268854.718384,0,37313,32844,58785792,28.76
1763268854.718412,1,37268,32774,58785792,28.76
1763268854.968457,0,38171,32844,58949632,28.76
1763268854.968540,1,38099,32774,58949632,28.76
1763268855.218514,1,38797,32774,59097088,28.76
1763268855.218561,0,38890,32844,59097088,28.76
1763268855.468370,0,39664,32844,59260928,28.76
1763268855.468441,1,39552,32774,59260928,28.76
