timestamp,worker_id,ops_total,analysis_ops,rss_bytes,system_cpu_percent
1763269081.255216,1,1,0,46972928,45.73
1763269081.291440,0,1,0,46972928,45.73
1763269081.807193,0,2,1,46972928,45.73
1763269081.821201,1,2,1,46972928,45.73
1763269082.356320,1,3,2,46972928,45.73
1763269082.357638,0,3,2,46972928,45.73
1763269082.901948,1,4,3,46972928,45.73
1763269082.923893,0,4,3,46972928,45.73
1763269083.503646,1,5,4,46415872,45.73
1763269083.522986,0,5,4,46415872,45.73
1763269084.040614,1,6,5,46415872,45.73
1763269084.077819,0,6,5,46415872,45.73
1763269084.603355,1,7,6,46415872,45.73
1763269084.660442,0,7,6,46415872,45.73
1763269085.157483,1,8,7,46415872,45.73
1763269085.241418,0,8,7,46415872,45.73
1763269085.695825,1,9,8,46415872,45.73
1763269085.816725,0,9,8,46415872,45.73
1763269086.361303,1,10,9,46415872,45.73
1763269086.500344,0,10,9,46415872,45.73
1763269086.993423,1,11,10,46415872,45.73
1763269087.126902,0,11,10,46415872,45.73
1763269087.657850,1,12,11,46415872,45.73
1763269087.800168,0,12,11,46415872,45.73
1763269088.339908,1,13,12,46415872,45.73
1763269088.446284,0,13,12,46415872,45.73
1763269088.992388,1,14,13,46415872,45.73
1763269089.067530,0,14,13,46415872,45.73
1763269089.674416,1,15,14,46415872,45.73
1763269089.749750,0,15,14,46415872,45.73
1763269090.232845,1,16,15,46415872,45.73
1763269090.271132,0,16,15,46415872,45.73
1763269090.819753,1,17,16,46415872,45.73
1763269090.888288,0,17,16,46415872,45.73
1763269091.409417,1,18,17,46415872,45.73
1763269091.473443,0,18,17,46415872,45.73
1763269091.982243,1,19,17,46415872,45.73
1763269092.057879,0,19,17,46415872,45.73
1763269092.560601,1,20,17,46415872,45.73
1763269092.649989,0,20,17,46415872,45.73
1763269093.218596,1,21,17,46415872,45.73
1763269093.272614,0,21,17,46415872,45.73
