timestamp,worker_id,ops_total,analysis_ops,rss_bytes,system_cpu_percent,cpu_temperature_c
1763117206.628024,0,1,0,45891584,82.23,
1763117206.638918,5,1,0,46071808,82.23,
1763117206.640805,2,1,0,46055424,82.23,
1763117206.641770,4,1,0,45875200,82.23,
1763117206.642882,1,1,0,45940736,82.23,
1763117206.644620,3,1,0,46055424,82.23,
1763117207.357556,0,2,1,45924352,82.23,
1763117207.363978,3,2,1,46088192,82.23,
1763117207.364002,5,2,1,46104576,82.23,
1763117207.378971,2,2,1,46088192,82.23,
1763117207.379150,1,2,1,45973504,82.23,
1763117207.380615,4,2,1,45907968,82.23,
1763117208.074281,0,3,2,45924352,82.23,
1763117208.095497,5,3,2,46104576,82.23,
1763117208.098291,3,3,2,46088192,82.23,
1763117208.115418,1,3,2,45973504,82.23,
1763117208.116105,4,3,2,45907968,82.23,
1763117208.136185,2,3,2,46088192,82.23,
1763117208.853807,5,4,3,46104576,82.23,
1763117208.872349,3,4,3,46088192,82.23,
1763117208.902815,0,4,3,45924352,82.23,
1763117208.931404,4,4,3,45907968,82.23,
1763117208.939378,1,4,3,45973504,82.23,
1763117208.987390,2,4,3,46088192,82.23,
1763117209.614363,5,5,4,46104576,82.23,
1763117209.695376,0,5,4,45924352,82.23,
1763117209.707736,3,5,4,46088192,82.23,
1763117209.779444,4,5,4,45907968,82.23,
1763117209.868924,1,5,4,45973504,82.23,
1763117209.881654,2,5,4,46088192,82.23,
1763117210.371051,5,6,5,46104576,82.23,
1763117210.439293,0,6,5,45924352,82.23,
1763117210.448049,3,6,5,46088192,82.23,
1763117210.554991,4,6,5,45907968,82.23,
1763117210.589996,1,6,5,45973504,82.23,
1763117210.614827,2,6,5,46088192,82.23,
1763117211.079903,5,7,6,46104576,82.23,
1763117211.164861,0,7,6,45924352,82.23,
1763117211.165598,3,7,6,46088192,82.23,
1763117211.290160,4,7,6,45907968,82.23,
1763117211.312077,1,7,6,45973504,82.23,
1763117211.332796,2,7,6,46088192,82.23,
1763117211.809139,5,8,7,46104576,82.23,
1763117211.887497,0,8,7,45924352,82.23,
1763117211.890435,3,8,7,46088192,82.23,
1763117212.016166,4,8,7,45907968,82.23,
1763117212.033820,1,8,7,45973504,82.23,
1763117212.062828,2,8,7,46088192,82.23,
1763117212.519197,5,9,8,46104576,82.23,
1763117212.593404,0,9,8,45924352,82.23,
1763117212.596671,3,9,8,46088192,82.23,
1763117212.741277,4,9,8,45907968,82.23,
1763117212.743284,1,9,8,45973504,82.23,
1763117212.779644,2,9,8,46088192,82.23,
1763117213.195017,5,10,9,46104576,82.23,
1763117213.290132,3,10,9,46088192,82.23,
1763117213.292011,0,10,9,45924352,82.23,
1763117213.436621,1,10,9,45973504,82.23,
1763117213.442455,4,10,9,45907968,82.23,
1763117213.476127,2,10,9,46088192,82.23,
1763117213.905651,5,11,10,46104576,82.23,
1763117214.000129,3,11,10,46088192,82.23,
1763117214.021803,0,11,10,45924352,82.23,
1763117214.149817,1,11,10,45973504,82.23,
1763117214.164108,4,11,10,45907968,82.23,
1763117214.198906,2,11,10,46088192,82.23,
1763117214.601466,5,12,11,46104576,82.23,
1763117214.698692,3,12,11,46088192,82.23,
1763117214.720783,0,12,11,45924352,82.23,
1763117214.857356,1,12,11,45973504,82.23,
1763117214.876632,4,12,11,45924352,82.23,
1763117214.917021,2,12,11,46088192,82.23,
1763117215.299764,5,13,12,46104576,82.23,
1763117215.391660,3,13,12,46088192,82.23,
1763117215.408256,0,13,12,45924352,82.23,
1763117215.537993,1,13,12,45973504,82.23,
1763117215.576154,4,13,12,45924352,82.23,
1763117215.613306,2,13,12,46088192,82.23,
1763117215.983551,5,14,13,46104576,82.23,
1763117216.077016,3,14,13,46088192,82.23,
1763117216.096529,0,14,13,45924352,82.23,
1763117216.224862,1,14,13,45973504,82.23,
1763117216.263762,4,14,13,45924352,82.23,
1763117216.303654,2,14,13,46088192,82.23,
1763117216.662882,5,15,14,46104576,82.23,
1763117216.743625,3,15,14,46088192,82.23,
1763117216.775179,0,15,14,45924352,82.23,
1763117216.900766,1,15,13,45973504,82.23,
1763117216.954630,4,15,13,45924352,82.23,
1763117216.987276,2,15,13,46088192,82.23,
1763117217.335117,5,16,14,46104576,82.23,
1763117217.425780,3,16,14,46088192,82.23,
1763117217.454199,0,16,14,45924352,82.23,
1763117217.576986,1,16,13,45973504,82.23,
1763117217.643719,4,16,13,45924352,82.23,
1763117217.672880,2,16,13,46088192,82.23,
1763117218.009952,5,17,14,46104576,82.23,
1763117218.098412,3,17,14,46088192,82.23,
1763117218.121500,0,17,14,45924352,82.23,
1763117218.230740,1,17,13,45973504,82.23,
1763117218.299282,4,17,13,45924352,82.23,
1763117218.326317,2,17,13,46088192,82.23,
