timestamp,worker_id,ops_total,analysis_ops,rss_bytes,system_cpu_percent,cpu_temperature_c
1763117248.207888,0,724,0,46235648,20.04,
1763117248.457694,0,1457,0,46333952,20.04,
1763117248.707891,0,2241,0,46415872,20.04,
1763117248.957627,0,3027,1,46481408,20.04,
1763117249.207648,0,3819,793,46596096,20.04,
1763117249.457710,0,4591,1565,46678016,20.04,
1763117249.707918,0,5372,2346,46743552,20.04,
1763117249.957802,0,6112,3086,46809088,20.04,
1763117250.207667,0,6884,3858,46891008,20.04,
1763117250.457831,0,7651,4625,46972928,20.04,
1763117250.707694,0,8438,5412,47038464,20.04,
1763117250.957699,0,9226,6200,47120384,20.04,
1763117251.207733,0,10003,6977,47185920,20.04,
1763117251.457775,0,10750,7724,47267840,20.04,
1763117251.707742,0,11518,8492,47333376,20.04,
1763117251.957624,0,12293,9267,47415296,20.04,
1763117252.207718,0,13078,10052,47480832,20.04,
1763117252.457809,0,13864,10838,47562752,20.04,
1763117252.707858,0,14646,11620,47644672,20.04,
1763117252.957854,0,15420,12394,47710208,20.04,
1763117253.207960,0,16198,13172,47792128,20.04,
1763117253.457992,0,16934,13908,47857664,20.04,
1763117253.707867,0,17641,14615,47923200,20.04,
1763117253.957806,0,18412,15386,47988736,20.04,
1763117254.207984,0,19141,16115,48070656,20.04,
1763117254.457641,0,19910,16884,48136192,20.04,
1763117254.707880,0,20694,17668,48218112,20.04,
1763117254.957752,0,21481,18455,48283648,20.04,
1763117255.207869,0,22277,19251,48381952,20.04,
1763117255.457910,0,23056,20030,48463872,20.04,
1763117255.707708,0,23833,20807,48529408,20.04,
1763117255.957884,0,24587,21561,48611328,20.04,
1763117256.207965,0,25342,22316,48676864,20.04,
1763117256.457761,0,26107,23081,48742400,20.04,
1763117256.707930,0,26891,23865,48824320,20.04,
1763117256.957898,0,27671,24645,48906240,20.04,
1763117257.207732,0,28459,25433,48971776,20.04,
1763117257.457664,0,29242,26216,49053696,20.04,
1763117257.707875,0,30030,27004,49135616,20.04,
1763117257.957710,0,30806,27780,49201152,20.04,
1763117258.207892,0,31596,28570,49283072,20.04,
1763117258.457868,0,32393,29367,49348608,20.04,
1763117258.707891,0,33191,30165,49430528,20.04,
1763117258.957730,0,33971,30944,49512448,20.04,
1763117259.207872,0,34763,30944,49577984,20.04,
1763117259.457785,0,35556,30944,49659904,20.04,
1763117259.707845,0,36350,30944,49741824,20.04,
1763117259.957788,0,37140,30944,49807360,20.04,
